species_taxonomy_SACC_2021,flocking
Ampelion rubrocristatus,yes
Anabacerthia striaticollis,yes
Anabazenops dorsalis,yes
Ancistrops strigilatus,yes
Anisognathus igniventris,yes
Anisognathus somptuosus,yes
Arremon taciturnus,yes
Arremon torquatus,yes
Atlapetes melanolaemus,yes
Automolus infuscatus,yes
Automolus melanopezus,yes
Automolus ochrolaemus,yes
Automolus rufipileatus,yes
Myiothlypis bivittata,yes
Myiothlypis chrysogaster,yes
Myiothlypis coronata,yes
Myiothlypis luteoviridis,yes
Myiothlypis signata,yes
Basileuterus tristriatus,yes
Bucco capensis,yes
Buthraupis montana,yes
Cacicus chrysonotus,yes
Campephilus melanoleucos,yes
Campephilus rubricollis,yes
Campylorhamphus trochilirostris,yes
Capito auratus,yes
Catamblyrhynchus diadema,yes
Celeus grammicus,yes
Cercomacra manu,yes
Chiroxiphia boliviana,yes
Chlorochrysa calliparaea,yes
Chlorophanes spiza,yes
Chlorophonia cyanea,yes
Chlorornis riefferii,yes
Chlorospingus flavigularis,yes
Chlorospingus flavopectus,yes
Chlorospingus parvirostris,yes
Chlorothraupis carmioli,yes
Cinnycerthia fulva,yes
Cissopis leverianus,yes
Cnemoscopus rubrirostris,yes
Cnemotriccus fuscatus,yes
Coccyzus americanus,yes
Coccyzus melacoryphus,yes
Coereba flaveola,yes
Colaptes punctigula,yes
Colaptes rivolii,yes
Colaptes rubiginosus,yes
Conirostrum albifrons,yes
Conirostrum ferrugineiventre,yes
Conirostrum sitticolor,yes
Conopias cinchoneti,yes
Conopophaga peruviana,yes
Contopus fumigatus,yes
Cranioleuca curtata,yes
Cranioleuca gutturata,yes
Cranioleuca marcapatae,yes
Creurgops dentatus,yes
Cyanerpes caeruleus,yes
Cyanerpes cyaneus,yes
Cyanoloxia cyanoides,yes
Cyanocorax yncas,yes
Cyanolyca viridicyanus,yes
Cymbilaimus lineatus,yes
Cymbilaimus sanctaemariae,yes
Dacnis cayana,yes
Dacnis lineata,yes
Deconychura longicauda,yes
Dubusia castaneoventris,yes
Dendrocincla fuliginosa,yes
Dendrocincla merula,yes
Dendrocincla tyrannina,yes
Dendrocolaptes picumnus,yes
Diglossa brunneiventris,yes
Diglossa caerulescens,yes
Diglossa cyanea,yes
Diglossa glauca,yes
Diglossa mystacalis,yes
Diglossa sittoides,yes
Drymophila devillei,yes
Drymotoxeres pucheranii,yes
Dysithamnus mentalis,yes
Elaenia albiceps,yes
Elaenia gigas,yes
Elaenia obscura,yes
Elaenia pallatangae,yes
Elaenia parvirostris,yes
Entomodestes leucotis,yes
Epinecrophylla erythrura,yes
Epinecrophylla leucophthalma,yes
Epinecrophylla ornata,yes
Eubucco versicolor,yes
Eubucco richardsoni,yes
Eubucco tucinkae,yes
Euphonia mesochrysa,yes
Euphonia rufiventris,yes
Euphonia xanthogaster,yes
Galbula cyanescens,yes
Glyphorynchus spirurus,yes
Gymnoderus foetidus,yes
Habia rubica,yes
Kleinothraupis atropileus,yes
Sphenopsis melanotis,yes
Kleinothraupis parodii,yes
Thlypopsis superciliaris,yes
Microspingus trifasciatus,yes
Pseudospingus xanthophthalmus,yes
Hemithraupis flavicollis,yes
Hemithraupis guira,yes
Hemitriccus granadensis,yes
Hemitriccus rufigularis,yes
Herpsilochmus axillaris,yes
Herpsilochmus rufimarginatus,yes
Automolus subulatus,yes
Pachysylvia hypoxantha,yes
Tunchiornis ochraceiceps,yes
Hypocnemis subflava,yes
Icterus cayanensis,yes
Iridophanes pulcherrimus,yes
Iridosornis analis,yes
Iridosornis jelskii,yes
Isleria hauxwelli,yes
Knipolegus signatus,yes
Lanio versicolor,yes
Lathrotriccus euleri,yes
Legatus leucophaius,yes
Lepidocolaptes lacrymiger,yes
Lepidothrix coronata,yes
Leptopogon amaurocephalus,yes
Leptopogon superciliaris,yes
Malacoptila fulvogularis,yes
Margarornis squamiger,yes
Mecocerculus leucophrys,yes
Mecocerculus stictopterus,yes
Melanerpes cruentatus,yes
Metopothrix aurantiaca,yes
Microrhopias quixensis,yes
Mionectes macconnelli,yes
Mionectes oleagineus,yes
Mionectes olivaceus,yes
Mionectes striaticollis,yes
Monasa morphoeus,yes
Monasa nigrifrons,yes
Myiarchus cephalotes,yes
Myiarchus tuberculifer,yes
Myiobius barbatus,yes
Myioborus miniatus,yes
Myioborus melanocephalus,yes
Myiodynastes maculatus,yes
Myiopagis gaimardii,yes
Myiophobus fasciatus,yes
Myiophobus inornatus,yes
Nephelomyias ochraceiventris,yes
Myiozetetes cayanensis,yes
Hafferia fortis,yes
Akletos goeldii,yes
Myrmoborus leucophrys,yes
Myrmoborus myotherinus,yes
Myrmotherula axillaris,yes
Myrmotherula brachyura,yes
Myrmotherula longicauda,yes
Myrmotherula longipennis,yes
Myrmotherula menetriesii,yes
Myrmotherula multostriata,yes
Myrmotherula schisticolor,yes
Ochthoeca rufipectoralis,yes
Odontorchilus branickii,yes
Pachyramphus minor,yes
Pachyramphus polychopterus,yes
Pachyramphus versicolor,yes
Setophaga pitiayumi,yes
Myrmoborus lophotes,yes
Pheucticus aureoventris,yes
Dendroma erythroptera,yes
Philydor erythrocercum,yes
Anabacerthia ruficaudata,yes
Phyllomyias cinereiceps,yes
Phylloscartes ophthalmicus,yes
Phylloscartes poecilotis,yes
Phylloscartes ventralis,yes
Piaya cayana,yes
Piculus leucolaemus,yes
Ceratopipra chloromeros,yes
Pipra fasciicauda,yes
Pipraeidea melanonota,yes
Pipreola intermedia,yes
Piranga leucoptera,yes
Piranga flava,yes
Piranga olivacea,yes
Poecilotriccus albifacies,yes
Poecilotriccus latirostris,yes
Poecilotriccus plumbeiceps,yes
Premnoplex brunnescens,yes
Premnornis guttuliger,yes
Pseudocolaptes boissonneautii,yes
Pygiptila stellaris,yes
Pyrrhomyias cinnamomeus,yes
Ramphocelus carbo,yes
Ramphotrigon fuscicauda,yes
Rhynchocyclus fulvipectus,yes
Saltator grossus,yes
Saltator maximus,yes
Sclerurus obscurior,yes
Syndactyla ucayalae,yes
Sittasomus griseicapillus,yes
Synallaxis azarae,yes
Loriotus cristatus,yes
Loriotus luctuosus,yes
Loriotus rufiventer,yes
Tangara arthus,yes
Tangara callophrys,yes
Tangara chilensis,yes
Tangara chrysotis,yes
Stilpnia cyanicollis,yes
Tangara cyanotis,yes
Tangara gyrola,yes
Tangara mexicana,yes
Tangara nigroviridis,yes
Tangara parzudakii,yes
Ixothraupis punctata,yes
Chalcothraupis ruficervix,yes
Tangara schrankii,yes
Tangara vassorii,yes
Tangara velia,yes
Tangara xanthocephala,yes
Ixothraupis xanthogastra,yes
Terenotriccus erythrurus,yes
Euchrepornis callinota,yes
Thamnomanes ardesiacus,yes
Thamnomanes schistogynus,yes
Thamnophilus doliatus,yes
Thamnophilus aethiops,yes
Thamnophilus palliatus,yes
Thamnophilus schistaceus,yes
Thamnophilus unicolor,yes
Thlypopsis ornata,yes
Thlypopsis ruficeps,yes
Rauenia bonariensis,yes
Sporathraupis cyanocephala,yes
Thraupis episcopus,yes
Thraupis palmarum,yes
Trichothraupis melanops,yes
Thripadectes melanorhynchus,yes
Thripophaga fusciceps,yes
Tityra semifasciata,yes
Todirostrum chrysocrotaphum,yes
Tolmomyias assimilis,yes
Troglodytes solstitialis,yes
Trogon personatus,yes
Trogon collaris,yes
Trogon curucui,yes
Trogon melanurus,yes
Trogon violaceus,yes
Trogon viridis,yes
Turdus nigriceps,yes
Dryobates nigriceps,yes
Vireo leucophrys,yes
Vireo olivaceus,yes
Cryptopipo holochlora,yes
Chloropipo unicolor,yes
Xenops minutus,yes
Xenops rutilans,yes
Xenops tenuirostris,yes
Xiphocolaptes promeropirhynchus,yes
Xiphorhynchus elegans,yes
Xiphorhynchus guttatus,yes
Xiphorhynchus ocellatus,yes
Xiphorhynchus triangularis,yes
Dendroplex picus,yes
Zimmerius bolivianus,yes
