"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_PA_max","sample_size"
"1","high_montane_manu",0,"ground","Chamaeza_mollissima","Chamaeza mollissima",1,1
"2","high_montane_manu",1,"undersory-midhigh","Pipreola_intermedia","Pipreola intermedia",1,19
"3","high_montane_manu",0,"undersory-midhigh","Pipreola_arcuata","Pipreola arcuata",1,8
"4","high_montane_manu",1,"understory","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus",1,6
"5","high_montane_manu",1,"midhigh","Chlorornis_riefferii","Chlorornis riefferii",1,14
"6","high_montane_manu",1,"midhigh","Anisognathus_igniventris","Anisognathus igniventris",1,14
"7","high_montane_manu",1,"understory","Iridosornis_jelskii","Iridosornis jelskii",1,18
"8","high_montane_manu",1,"undersory-midhigh","Arremon_torquatus","Arremon torquatus",1,13
"9","high_montane_manu",1,"understory","Hemispingus_atropileus","Kleinothraupis atropileus",1,28
"10","high_montane_manu",1,"canopy","Myioborus_melanocephalus","Myioborus melanocephalus",1,12
"11","high_montane_manu",1,"midhigh-canopy","Mecocerculus_stictopterus","Mecocerculus stictopterus",1,1
"12","high_montane_manu",1,"understory","Pyrrhomyias_cinnamomeus","Pyrrhomyias cinnamomeus",1,3
"13","high_montane_manu",1,"midhigh","Buthraupis_montana","Buthraupis montana",1,4
"14","high_montane_manu",1,"understory","Hemispingus_melanotis","Sphenopsis melanotis",1,10
"15","high_montane_manu",1,"canopy","Thraupis_cyanocephala","Sporathraupis cyanocephala",1,12
"16","high_montane_manu",0,"understory","Dubusia_taeniata","Dubusia taeniata",1,1
"17","high_montane_manu",0,"ground","Haplospiza_rustica","Haplospiza rustica",1,5
"18","lowland_manu",0,"ground","Formicarius_analis","Formicarius analis",1,7
"19","lowland_manu",0,"ground","Formicarius_rufipectus","Formicarius rufipectus",1,1
"20","lowland_manu",1,"other","Myrmotherula_hauxwelli","Isleria hauxwelli",1,21
"21","lowland_manu",1,"midhigh","Thamnomanes_ardesiacus","Thamnomanes ardesiacus",1,13
"22","lowland_manu",1,"midhigh","Myrmotherula_axillaris","Myrmotherula axillaris",1,20
"23","lowland_manu",1,"understory","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps",1,6
"24","lowland_manu",1,"midhigh","Thamnomanes_schistogynus","Thamnomanes schistogynus",1,12
"25","lowland_manu",0,"ground","Corythopis_torquatus","Corythopis torquatus",1,14
"26","lowland_manu",0,"ground","Willisornis_poecilinotus","Willisornis poecilinotus",1,26
"27","lowland_manu",0,"ground","Sclerurus_caudacutus","Sclerurus caudacutus",1,9
"28","lowland_manu",0,"ground-understory","Microcerculus_marginatus","Microcerculus marginatus",1,12
"29","lowland_manu",1,"canopy","Lanio_versicolor","Lanio versicolor",1,5
"30","lowland_manu",1,"ground-midhigh","Monasa_morphoeus","Monasa morphoeus",0,3
"31","lowland_manu",1,"undersory-midhigh","Lepidothrix_coronata","Lepidothrix coronata",1,16
"32","lowland_manu",0,"ground-midhigh","Malacoptila_semicincta","Malacoptila semicincta",1,5
"33","lowland_manu",1,"undersory-midhigh","Pipra_chloromeros","Ceratopipra chloromeros",1,102
"34","lowland_manu",1,"other","Monasa_nigrifrons","Monasa nigrifrons",0,2
"35","lowland_manu",0,"ground-midhigh","Rupicola_peruvianus","Rupicola peruvianus",1,8
"36","lowland_manu",1,"midhigh","Galbula_cyanescens","Galbula cyanescens",1,2
"37","lowland_manu",0,"understory","Schiffornis_turdina","Schiffornis turdina",1,9
"38","lowland_manu",1,"other","Chlorothraupis_carmioli","Chlorothraupis carmioli",1,6
"39","lowland_manu",1,"midhigh","Myiobius_barbatus","Myiobius barbatus",1,5
"40","lowland_manu",1,"canopy","Glyphorynchus_spirurus","Glyphorynchus spirurus",1,8
"41","lowland_manu",0,"midhigh","Platyrinchus_platyrhynchos","Platyrinchus platyrhynchos",0,6
"42","lowland_manu",0,"understory","Hylophylax_naevius","Hylophylax naevius",1,10
"43","lowland_manu",1,"understory","Mionectes_olivaceus","Mionectes olivaceus",1,23
"44","lowland_manu",1,"undersory-midhigh","Leptopogon_amaurocephalus","Leptopogon amaurocephalus",1,17
"45","lowland_manu",1,"undersory-midhigh","Pipra_fasciicauda","Pipra fasciicauda",1,25
"46","lowland_manu",1,"midhigh","Habia_rubica","Habia rubica",1,12
"47","lowland_manu",0,"ground-midhigh","Momotus_momota","Momotus momota",1,2
"48","lowland_manu",1,"undersory-midhigh","Myrmotherula_longipennis","Myrmotherula longipennis",1,4
"49","lowland_manu",1,"midhigh","Mionectes_macconnelli","Mionectes macconnelli",1,14
"50","lowland_manu",0,"ground","Geotrygon_montana","Geotrygon montana",1,5
"51","lowland_manu",0,"canopy","Psarocolius_angustifrons","Psarocolius angustifrons",1,1
"52","lowland_manu",1,"ground","Myrmoborus_leucophrys","Myrmoborus leucophrys",0,1
"53","lowland_manu",1,"midhigh","Terenotriccus_erythrurus","Terenotriccus erythrurus",1,7
"54","lowland_manu",1,"undersory-midhigh","Ramphotrigon_fuscicauda","Ramphotrigon fuscicauda",1,3
"55","lowland_manu",1,"ground-understory","Myrmoborus_myotherinus","Myrmoborus myotherinus",1,5
"56","lowland_manu",0,"undersory-midhigh","Laniocera_hypopyrra","Laniocera hypopyrra",1,3
"57","lowland_manu",1,"understory","Automolus_ochrolaemus","Automolus ochrolaemus",1,10
"58","lowland_manu",1,"canopy","Xenops_tenuirostris","Xenops tenuirostris",0,1
"59","lowland_manu",1,"midhigh","Tangara_schrankii","Tangara schrankii",1,6
"60","lowland_manu",0,"ground","Turdus_albicollis","Turdus albicollis",1,3
"61","lowland_manu",0,"canopy","Pteroglossus_azara","Pteroglossus azara",1,2
"62","lowland_manu",0,"understory","Synallaxis_cabanisi","Synallaxis cabanisi",1,1
"63","lowland_manu",1,"undersory-midhigh","Mionectes_oleagineus","Mionectes oleagineus",1,15
"64","lowland_manu",0,"ground","Gymnopithys_salvini","Oneillornis salvini",1,19
"65","lowland_manu",0,"canopy","Pteroglossus_beauharnaesii","Pteroglossus beauharnaisii",1,2
"66","lowland_manu",0,"understory","Platyrinchus_coronatus","Platyrinchus coronatus",0,2
"67","lowland_manu",1,"midhigh","Euphonia_xanthogaster","Euphonia xanthogaster",1,1
"68","lowland_manu",1,"midhigh-canopy","Philydor_erythropterum","Dendroma erythroptera",0,1
"69","lowland_manu",1,"undersory-midhigh","Xenops_minutus","Xenops minutus",1,5
"70","lowland_manu",0,"ground-understory","Catharus_ustulatus","Catharus ustulatus",1,3
"71","lowland_manu",1,"midhigh","Thamnophilus_schistaceus","Thamnophilus schistaceus",1,13
"72","lowland_manu",1,"understory","Epinecrophylla_leucophthalma","Epinecrophylla leucophthalma",1,2
"73","lowland_manu",1,"ground-understory","Arremon_taciturnus","Arremon taciturnus",1,17
"74","lowland_manu",0,"midhigh","Campylopterus_largipennis","Campylopterus largipennis",1,1
"75","lowland_manu",1,"undersory-midhigh","Hyloctistes_subulatus","Automolus subulatus",0,1
"76","lowland_manu",0,"midhigh","Neoctantes_niger","Neoctantes niger",0,1
"77","lowland_manu",1,"midhigh","Epinecrophylla_erythrura","Epinecrophylla erythrura",1,1
"78","lowland_manu",1,"ground","Cyanocompsa_cyanoides","Cyanoloxia cyanoides",1,7
"79","lowland_manu",1,"understory","Trogon_violaceus","Trogon violaceus",0,1
"80","lowland_manu",1,"other","Saltator_maximus","Saltator maximus",1,1
"81","lowland_manu",0,"ground","Phlegopsis_nigromaculata","Phlegopsis nigromaculata",1,5
"82","lowland_manu",1,"understory","Automolus_melanopezus","Automolus melanopezus",1,1
"83","lowland_manu",1,"understory","Simoxenops_ucayalae","Syndactyla ucayalae",1,1
"84","lowland_manu",1,"ground-understory","Myrmeciza_goeldii","Akletos goeldii",1,24
"85","lowland_manu",0,"ground-understory","Cyphorhinus_arada","Cyphorhinus arada",1,1
"86","lowland_manu",0,"canopy","Ramphastos_tucanus","Ramphastos tucanus",1,1
"87","lowland_manu",1,"midhigh","Anabazenops_dorsalis","Anabazenops dorsalis",1,1
"88","lowland_manu",0,"canopy","Philydor_rufum","Dendroma rufa",1,1
"89","lowland_manu",1,"midhigh","Deconychura_longicauda","Deconychura longicauda",1,5
"90","lowland_manu",0,"canopy","Piprites_chloris","Piprites chloris",1,1
"91","lowland_manu",1,"understory","Automolus_infuscatus","Automolus infuscatus",1,1
"92","lowland_manu",1,"ground","Conopophaga_peruviana","Conopophaga peruviana",1,1
"93","lowland_manu",0,"ground","Dichrozona_cincta","Dichrozona cincta",1,1
"94","lowland_manu",1,"ground-understory","Percnostola_lophotes","Myrmoborus lophotes",1,6
"95","lowland_manu",0,"ground-understory","Myrmeciza_hemimelaena","Sciaphylax hemimelaena",1,4
"96","lowland_manu",0,"undersory-midhigh","Rhytipterna_simplex","Rhytipterna simplex",1,3
"97","lowland_manu",1,"midhigh","Myrmotherula_menetriesii","Myrmotherula menetriesii",1,2
"98","lowland_manu",1,"midhigh","Xiphorhynchus_elegans","Xiphorhynchus elegans",1,3
"99","lowland_manu",0,"understory","Phaethornis_koepckeae","Phaethornis koepckeae",1,1
"100","lowland_manu",1,"ground","Myrmeciza_fortis","Hafferia fortis",1,1
"101","lowland_manu",0,"ground","Rhegmatorhina_melanosticta","Rhegmatorhina melanosticta",1,5
"102","lowland_manu",0,"other","Thalurania_furcata","Thalurania furcata",1,1
"103","lowland_manu",1,"ground-understory","Ancistrops_strigilatus","Ancistrops strigilatus",1,2
"104","lowland_manu",1,"midhigh","Mionectes_striaticollis","Mionectes striaticollis",1,1
"105","montane_manu",1,"undersory-midhigh","Malacoptila_fulvogularis","Malacoptila fulvogularis",1,7
"106","montane_manu",0,"ground-midhigh","Micromonacha_lanceolata","Micromonacha lanceolata",0,1
"107","montane_manu",1,"understory","Chlorospingus_flavigularis","Chlorospingus flavigularis",1,16
"108","montane_manu",1,"midhigh","Tangara_arthus","Tangara arthus",1,10
"109","montane_manu",1,"midhigh","Leptopogon_superciliaris","Leptopogon superciliaris",1,8
"110","montane_manu",1,"understory","Premnoplex_brunnescens","Premnoplex brunnescens",1,28
"111","montane_manu",1,"midhigh","Myioborus_miniatus","Myioborus miniatus",1,5
"112","montane_manu",1,"understory","Basileuterus_tristriatus","Basileuterus tristriatus",1,11
"113","montane_manu",1,"other","Chlorospingus_ophthalmicus","Chlorospingus flavopectus",1,5
"114","montane_manu",0,"understory","Eutoxeres_condamini","Eutoxeres condamini",1,1
"115","montane_manu",1,"midhigh","Anabacerthia_striaticollis","Anabacerthia striaticollis",1,8
"116","montane_manu",1,"midhigh","Phylloscartes_ophthalmicus","Phylloscartes ophthalmicus",1,6
"117","montane_manu",1,"midhigh-canopy","Chlorochrysa_calliparaea","Chlorochrysa calliparaea",1,3
"118","montane_manu",1,"undersory-midhigh","Chiroxiphia_boliviana","Chiroxiphia boliviana",1,1
"119","montane_manu",1,"midhigh","Myrmotherula_schisticolor","Myrmotherula schisticolor",1,3
"120","montane_manu",1,"understory","Basileuterus_coronatus","Myiothlypis coronata",1,12
"121","montane_manu",0,"ground","Cyphorhinus_thoracicus","Cyphorhinus thoracicus",1,13
"122","montane_manu",1,"other","Trichothraupis_melanops","Trichothraupis melanops",1,8
"123","montane_manu",1,"understory","Thripadectes_melanorhynchus","Thripadectes melanorhynchus",1,14
"124","montane_manu",1,"midhigh","Basileuterus_bivittatus","Myiothlypis bivittata",1,11
"125","montane_manu",0,"midhigh","Lophotriccus_pileatus","Lophotriccus pileatus",1,4
"126","montane_manu",1,"midhigh","Myrmotherula_longicauda","Myrmotherula longicauda",1,2
"127","montane_manu",0,"understory","Sporophila_nigricollis","Sporophila nigricollis",1,3
"128","montane_manu",1,"midhigh","Diglossa_glauca","Diglossa glauca",1,1
"129","montane_manu",0,"ground","Ammodramus_aurifrons","Ammodramus aurifrons",1,2
"130","montane_manu",1,"midhigh","Xiphorhynchus_triangularis","Xiphorhynchus triangularis",0,1
"131","montane_manu",1,"canopy","Cyanerpes_caeruleus","Cyanerpes caeruleus",1,2
"132","montane_manu",1,"midhigh","Anisognathus_somptuosus","Anisognathus somptuosus",1,2
"133","montane_manu",1,"understory","Iridosornis_analis","Iridosornis analis",1,2
