"","species_taxonomy_SACC_2021","deg_binary","species","species_jetz","TipLabel"
"136","Margarornis_squamiger",56,"Margarornis squamiger","Margarornis squamiger","Margarornis_squamiger"
"137","Mecocerculus_leucophrys",57,"Mecocerculus leucophrys","Mecocerculus leucophrys","Mecocerculus_leucophrys"
"138","Mecocerculus_stictopterus",65,"Mecocerculus stictopterus","Mecocerculus stictopterus","Mecocerculus_stictopterus"
"139","Melanerpes_cruentatus",19,"Melanerpes cruentatus","Melanerpes cruentatus","Melanerpes_cruentatus"
"140","Metopothrix_aurantiaca",22,"Metopothrix aurantiaca","Metopothrix aurantiaca","Metopothrix_aurantiaca"
"141","Microrhopias_quixensis",49,"Microrhopias quixensis","Microrhopias quixensis","Microrhopias_quixensis"
"142","Microspingus_trifasciatus",26,"Hemispingus trifasciatus","Hemispingus trifasciatus","Hemispingus_trifasciatus"
"143","Mionectes_macconnelli",39,"Mionectes macconnelli","Mionectes macconnelli","Mionectes_macconnelli"
"144","Mionectes_oleagineus",62,"Mionectes oleagineus","Mionectes oleagineus","Mionectes_oleagineus"
"145","Mionectes_olivaceus",76,"Mionectes olivaceus","Mionectes olivaceus","Mionectes_olivaceus"
"146","Mionectes_striaticollis",107,"Mionectes striaticollis","Mionectes striaticollis","Mionectes_striaticollis"
"147","Monasa_morphoeus",68,"Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus"
"148","Monasa_nigrifrons",25,"Monasa nigrifrons","Monasa nigrifrons","Monasa_nigrifrons"
"149","Myiarchus_cephalotes",12,"Myiarchus cephalotes","Myiarchus cephalotes","Myiarchus_cephalotes"
"150","Myiarchus_tuberculifer",23,"Myiarchus tuberculifer","Myiarchus tuberculifer","Myiarchus_tuberculifer"
"151","Myiobius_barbatus",19,"Myiobius barbatus","Myiobius barbatus","Myiobius_barbatus"
"152","Myioborus_melanocephalus",69,"Myioborus melanocephalus","Myioborus melanocephalus","Myioborus_melanocephalus"
"153","Myioborus_miniatus",119,"Myioborus miniatus","Myioborus miniatus","Myioborus_miniatus"
"154","Myiodynastes_maculatus",12,"Myiodynastes maculatus","Myiodynastes maculatus","Myiodynastes_maculatus"
"155","Myiopagis_gaimardii",32,"Myiopagis gaimardii","Myiopagis gaimardii","Myiopagis_gaimardii"
"156","Myiophobus_fasciatus",14,"Myiophobus fasciatus","Myiophobus fasciatus","Myiophobus_fasciatus"
"157","Myiophobus_inornatus",17,"Myiophobus inornatus","Myiophobus inornatus","Myiophobus_inornatus"
"158","Myiothlypis_bivittata",33,"Basileuterus bivittatus","Basileuterus bivittatus","Basileuterus_bivittatus"
"159","Myiothlypis_chrysogaster",55,"Basileuterus chrysogaster","Basileuterus chrysogaster","Basileuterus_chrysogaster"
"160","Myiothlypis_coronata",39,"Basileuterus coronatus","Basileuterus coronatus","Basileuterus_coronatus"
"161","Myiothlypis_luteoviridis",39,"Basileuterus luteoviridis","Basileuterus luteoviridis","Basileuterus_luteoviridis"
"162","Myiothlypis_signata",46,"Basileuterus signatus","Basileuterus signatus","Basileuterus_signatus"
"163","Myiozetetes_cayanensis",13,"Myiozetetes cayanensis","Myiozetetes cayanensis","Myiozetetes_cayanensis"
"164","Myrmoborus_leucophrys",21,"Myrmoborus leucophrys","Myrmoborus leucophrys","Myrmoborus_leucophrys"
"165","Myrmoborus_lophotes",7,"Percnostola lophotes","Percnostola lophotes","Percnostola_lophotes"
"166","Myrmoborus_myotherinus",54,"Myrmoborus myotherinus","Myrmoborus myotherinus","Myrmoborus_myotherinus"
"167","Myrmotherula_axillaris",95,"Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris"
"168","Myrmotherula_brachyura",81,"Myrmotherula brachyura","Myrmotherula brachyura","Myrmotherula_brachyura"
"169","Myrmotherula_longicauda",20,"Myrmotherula longicauda","Myrmotherula longicauda","Myrmotherula_longicauda"
"170","Myrmotherula_longipennis",84,"Myrmotherula longipennis","Myrmotherula longipennis","Myrmotherula_longipennis"
"171","Myrmotherula_menetriesii",75,"Myrmotherula menetriesii","Myrmotherula menetriesii","Myrmotherula_menetriesii"
"172","Myrmotherula_multostriata",15,"Myrmotherula multostriata","Myrmotherula multostriata","Myrmotherula_multostriata"
"173","Myrmotherula_schisticolor",27,"Myrmotherula schisticolor","Myrmotherula schisticolor","Myrmotherula_schisticolor"
"174","Nephelomyias_ochraceiventris",21,"Myiophobus ochraceiventris","Myiophobus ochraceiventris","Myiophobus_ochraceiventris"
"175","Ochthoeca_rufipectoralis",9,"Ochthoeca rufipectoralis","Ochthoeca rufipectoralis","Ochthoeca_rufipectoralis"
"176","Odontorchilus_branickii",58,"Odontorchilus branickii","Odontorchilus branickii","Odontorchilus_branickii"
"177","Pachyramphus_minor",44,"Pachyramphus minor","Pachyramphus minor","Pachyramphus_minor"
"178","Pachyramphus_polychopterus",12,"Pachyramphus polychopterus","Pachyramphus polychopterus","Pachyramphus_polychopterus"
"179","Pachyramphus_versicolor",44,"Pachyramphus versicolor","Pachyramphus versicolor","Pachyramphus_versicolor"
"180","Pachysylvia_hypoxantha",69,"Hylophilus hypoxanthus","Hylophilus hypoxanthus","Hylophilus_hypoxanthus"
"181","Pheucticus_aureoventris",10,"Pheucticus aureoventris","Pheucticus aureoventris","Pheucticus_aureoventris"
"182","Philydor_erythrocercum",75,"Philydor erythrocercum","Philydor erythrocercum","Philydor_erythrocercum"
"183","Phyllomyias_cinereiceps",65,"Phyllomyias cinereiceps","Phyllomyias cinereiceps","Phyllomyias_cinereiceps"
"184","Phylloscartes_ophthalmicus",67,"Pogonotriccus ophthalmicus","Phylloscartes ophthalmicus","Phylloscartes_ophthalmicus"
"185","Phylloscartes_poecilotis",21,"Pogonotriccus poecilotis","Phylloscartes poecilotis","Phylloscartes_poecilotis"
"186","Phylloscartes_ventralis",34,"Phylloscartes ventralis","Phylloscartes ventralis","Phylloscartes_ventralis"
"187","Piaya_cayana",59,"Piaya cayana","Piaya cayana","Piaya_cayana"
"188","Piculus_leucolaemus",9,"Piculus leucolaemus","Piculus leucolaemus","Piculus_leucolaemus"
"189","Pipra_fasciicauda",26,"Pipra fasciicauda","Pipra fasciicauda","Pipra_fasciicauda"
"190","Pipraeidea_melanonota",29,"Pipraeidea melanonota","Pipraeidea melanonota","Pipraeidea_melanonota"
"191","Pipreola_intermedia",17,"Pipreola intermedia","Pipreola intermedia","Pipreola_intermedia"
"192","Piranga_flava",19,"Piranga flava","Piranga flava","Piranga_flava"
"193","Piranga_leucoptera",16,"Piranga leucoptera","Piranga leucoptera","Piranga_leucoptera"
"194","Piranga_olivacea",18,"Piranga olivacea","Piranga olivacea","Piranga_olivacea"
"195","Poecilotriccus_albifacies",21,"Poecilotriccus albifacies","Poecilotriccus albifacies","Poecilotriccus_albifacies"
"196","Poecilotriccus_latirostris",19,"Poecilotriccus latirostris","Poecilotriccus latirostris","Poecilotriccus_latirostris"
"197","Poecilotriccus_plumbeiceps",22,"Poecilotriccus plumbeiceps","Poecilotriccus plumbeiceps","Poecilotriccus_plumbeiceps"
"198","Premnoplex_brunnescens",5,"Premnoplex brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens"
"199","Premnornis_guttuliger",11,"Premnornis guttuliger","Premnornis guttuligera","Premnornis_guttuligera"
"200","Pseudocolaptes_boissonneautii",47,"Pseudocolaptes boissonneautii","Pseudocolaptes boissonneautii","Pseudocolaptes_boissonneautii"
"201","Pseudospingus_xanthophthalmus",34,"Hemispingus xanthophthalmus","Hemispingus xanthophthalmus","Hemispingus_xanthophthalmus"
"202","Pygiptila_stellaris",76,"Pygiptila stellaris","Pygiptila stellaris","Pygiptila_stellaris"
"203","Pyrrhomyias_cinnamomeus",102,"Pyrrhomyias cinnamomeus","Pyrrhomyias cinnamomeus","Pyrrhomyias_cinnamomeus"
"204","Ramphocelus_carbo",48,"Ramphocelus carbo","Ramphocelus carbo","Ramphocelus_carbo"
"205","Ramphotrigon_fuscicauda",55,"Ramphotrigon fuscicauda","Ramphotrigon fuscicauda","Ramphotrigon_fuscicauda"
"206","Rauenia_bonariensis",19,"Thraupis bonariensis","Thraupis bonariensis","Thraupis_bonariensis"
"207","Rhynchocyclus_fulvipectus",14,"Rhynchocyclus fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus"
"208","Saltator_grossus",46,"Saltator grossus","Saltator grossus","Saltator_grossus"
"209","Saltator_maximus",104,"Saltator maximus","Saltator maximus","Saltator_maximus"
"210","Sclerurus_obscurior",32,"Sclerurus mexicanus","Sclerurus mexicanus","Sclerurus_mexicanus"
"211","Setophaga_pitiayumi",58,"Parula pitiayumi","Parula pitiayumi","Parula_pitiayumi"
"212","Sittasomus_griseicapillus",14,"Sittasomus griseicapillus","Sittasomus griseicapillus","Sittasomus_griseicapillus"
"213","Sphenopsis_melanotis",72,"Hemispingus melanotis","Hemispingus melanotis","Hemispingus_melanotis"
"214","Sporathraupis_cyanocephala",45,"Thraupis cyanocephala","Thraupis cyanocephala","Thraupis_cyanocephala"
"215","Stilpnia_cyanicollis",84,"Tangara cyanicollis","Tangara cyanicollis","Tangara_cyanicollis"
"216","Synallaxis_azarae",54,"Synallaxis azarae","Synallaxis azarae","Synallaxis_azarae"
"217","Syndactyla_ucayalae",25,"Simoxenops ucayalae","Simoxenops ucayalae","Simoxenops_ucayalae"
"218","Tangara_arthus",102,"Tangara arthus","Tangara arthus","Tangara_arthus"
"219","Tangara_callophrys",7,"Tangara callophrys","Tangara callophrys","Tangara_callophrys"
"220","Tangara_chilensis",129,"Tangara chilensis","Tangara chilensis","Tangara_chilensis"
"221","Tangara_chrysotis",31,"Tangara chrysotis","Tangara chrysotis","Tangara_chrysotis"
"222","Tangara_cyanotis",13,"Tangara cyanotis","Tangara cyanotis","Tangara_cyanotis"
"223","Tangara_gyrola",120,"Tangara gyrola","Tangara gyrola","Tangara_gyrola"
"224","Tangara_mexicana",25,"Tangara mexicana","Tangara mexicana","Tangara_mexicana"
"225","Tangara_nigroviridis",48,"Tangara nigroviridis","Tangara nigroviridis","Tangara_nigroviridis"
"226","Tangara_parzudakii",12,"Tangara parzudakii","Tangara parzudakii","Tangara_parzudakii"
"227","Tangara_schrankii",98,"Tangara schrankii","Tangara schrankii","Tangara_schrankii"
"228","Tangara_vassorii",50,"Tangara vassorii","Tangara vassorii","Tangara_vassorii"
"229","Tangara_velia",7,"Tangara velia","Tangara velia","Tangara_velia"
"230","Tangara_xanthocephala",55,"Tangara xanthocephala","Tangara xanthocephala","Tangara_xanthocephala"
"231","Terenotriccus_erythrurus",7,"Terenotriccus erythrurus","Terenotriccus erythrurus","Terenotriccus_erythrurus"
"232","Thamnomanes_ardesiacus",67,"Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus"
"233","Thamnomanes_schistogynus",108,"Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus"
"234","Thamnophilus_aethiops",17,"Thamnophilus aethiops","Thamnophilus aethiops","Thamnophilus_aethiops"
"235","Thamnophilus_doliatus",9,"Thamnophilus doliatus","Thamnophilus doliatus","Thamnophilus_doliatus"
"236","Thamnophilus_palliatus",32,"Thamnophilus palliatus","Thamnophilus palliatus","Thamnophilus_palliatus"
"237","Thamnophilus_schistaceus",89,"Thamnophilus schistaceus","Thamnophilus schistaceus","Thamnophilus_schistaceus"
"238","Thamnophilus_unicolor",21,"Thamnophilus unicolor","Thamnophilus unicolor","Thamnophilus_unicolor"
"239","Thlypopsis_ornata",22,"Thlypopsis ornata","Thlypopsis ornata","Thlypopsis_ornata"
"240","Thlypopsis_ruficeps",70,"Thlypopsis ruficeps","Thlypopsis ruficeps","Thlypopsis_ruficeps"
"241","Thlypopsis_superciliaris",46,"Hemispingus superciliaris","Hemispingus superciliaris","Hemispingus_superciliaris"
"242","Thraupis_episcopus",19,"Thraupis episcopus","Thraupis episcopus","Thraupis_episcopus"
"243","Thraupis_palmarum",49,"Thraupis palmarum","Thraupis palmarum","Thraupis_palmarum"
"244","Thripadectes_melanorhynchus",52,"Thripadectes melanorhynchus","Thripadectes melanorhynchus","Thripadectes_melanorhynchus"
"245","Thripophaga_fusciceps",12,"Thripophaga fusciceps","Thripophaga fusciceps","Thripophaga_fusciceps"
"246","Tityra_semifasciata",29,"Tityra semifasciata","Tityra semifasciata","Tityra_semifasciata"
"247","Todirostrum_chrysocrotaphum",19,"Todirostrum chrysocrotaphum","Todirostrum chrysocrotaphum","Todirostrum_chrysocrotaphum"
"248","Tolmomyias_assimilis",46,"Tolmomyias assimilis","Tolmomyias assimilis","Tolmomyias_assimilis"
"249","Trichothraupis_melanops",54,"Trichothraupis melanops","Trichothraupis melanops","Trichothraupis_melanops"
"250","Troglodytes_solstitialis",27,"Troglodytes solstitialis","Troglodytes solstitialis","Troglodytes_solstitialis"
"251","Trogon_collaris",38,"Trogon collaris","Trogon collaris","Trogon_collaris"
"252","Trogon_curucui",19,"Trogon curucui","Trogon curucui","Trogon_curucui"
"253","Trogon_melanurus",14,"Trogon melanurus","Trogon melanurus","Trogon_melanurus"
"254","Trogon_personatus",55,"Trogon personatus","Trogon personatus","Trogon_personatus"
"255","Trogon_violaceus",34,"Trogon violaceus","Trogon violaceus","Trogon_violaceus"
"256","Trogon_viridis",21,"Trogon viridis","Trogon viridis","Trogon_viridis"
"257","Tunchiornis_ochraceiceps",48,"Hylophilus ochraceiceps","Hylophilus ochraceiceps","Hylophilus_ochraceiceps"
"258","Turdus_nigriceps",30,"Turdus nigriceps","Turdus nigriceps","Turdus_nigriceps"
"259","Vireo_leucophrys",65,"Vireo leucophrys","Vireo leucophrys","Vireo_leucophrys"
"260","Vireo_olivaceus",49,"Vireo olivaceus","Vireo olivaceus","Vireo_olivaceus"
"261","Xenops_minutus",69,"Xenops minutus","Xenops minutus","Xenops_minutus"
"262","Xenops_rutilans",59,"Xenops rutilans","Xenops rutilans","Xenops_rutilans"
"263","Xenops_tenuirostris",57,"Xenops tenuirostris","Xenops tenuirostris","Xenops_tenuirostris"
"264","Xiphocolaptes_promeropirhynchus",69,"Xiphocolaptes promeropirhynchus","Xiphocolaptes promeropirhynchus","Xiphocolaptes_promeropirhynchus"
"265","Xiphorhynchus_elegans",83,"Xiphorhynchus elegans","Xiphorhynchus elegans","Xiphorhynchus_elegans"
"266","Xiphorhynchus_guttatus",94,"Xiphorhynchus guttatus","Xiphorhynchus guttatus","Xiphorhynchus_guttatus"
"267","Xiphorhynchus_ocellatus",20,"Xiphorhynchus ocellatus","Xiphorhynchus ocellatus","Xiphorhynchus_ocellatus"
"268","Xiphorhynchus_triangularis",90,"Xiphorhynchus triangularis","Xiphorhynchus triangularis","Xiphorhynchus_triangularis"
"269","Zimmerius_bolivianus",59,"Zimmerius bolivianus","Zimmerius bolivianus","Zimmerius_bolivianus"
