species_taxonomy_SACC_2021,flocking
Ampelion_rubrocristatus,yes
Anabacerthia_striaticollis,yes
Anabazenops_dorsalis,yes
Ancistrops_strigilatus,yes
Anisognathus_igniventris,yes
Anisognathus_somptuosus,yes
Arremon_taciturnus,yes
Arremon_torquatus,yes
Atlapetes_melanolaemus,yes
Automolus_infuscatus,yes
Automolus_melanopezus,yes
Automolus_ochrolaemus,yes
Automolus_rufipileatus,yes
Myiothlypis_bivittata,yes
Myiothlypis_chrysogaster,yes
Myiothlypis_coronata,yes
Myiothlypis_luteoviridis,yes
Myiothlypis_signata,yes
Basileuterus_tristriatus,yes
Bucco_capensis,yes
Buthraupis_montana,yes
Cacicus_chrysonotus,yes
Campephilus_melanoleucos,yes
Campephilus_rubricollis,yes
Campylorhamphus_trochilirostris,yes
Capito_auratus,yes
Catamblyrhynchus_diadema,yes
Celeus_grammicus,yes
Cercomacra_manu,yes
Chiroxiphia_boliviana,yes
Chlorochrysa_calliparaea,yes
Chlorophanes_spiza,yes
Chlorophonia_cyanea,yes
Chlorornis_riefferii,yes
Chlorospingus_flavigularis,yes
Chlorospingus_flavopectus,yes
Chlorospingus_parvirostris,yes
Chlorothraupis_carmioli,yes
Cinnycerthia_fulva,yes
Cissopis_leverianus,yes
Cnemoscopus_rubrirostris,yes
Cnemotriccus_fuscatus,yes
Coccyzus_americanus,yes
Coccyzus_melacoryphus,yes
Coereba_flaveola,yes
Colaptes_punctigula,yes
Colaptes_rivolii,yes
Colaptes_rubiginosus,yes
Conirostrum_albifrons,yes
Conirostrum_ferrugineiventre,yes
Conirostrum_sitticolor,yes
Conopias_cinchoneti,yes
Conopophaga_peruviana,yes
Contopus_fumigatus,yes
Cranioleuca_curtata,yes
Cranioleuca_gutturata,yes
Cranioleuca_marcapatae,yes
Creurgops_dentatus,yes
Cyanerpes_caeruleus,yes
Cyanerpes_cyaneus,yes
Cyanoloxia_cyanoides,yes
Cyanocorax_yncas,yes
Cyanolyca_viridicyanus,yes
Cymbilaimus_lineatus,yes
Cymbilaimus_sanctaemariae,yes
Dacnis_cayana,yes
Dacnis_lineata,yes
Deconychura_longicauda,yes
Dubusia_castaneoventris,yes
Dendrocincla_fuliginosa,yes
Dendrocincla_merula,yes
Dendrocincla_tyrannina,yes
Dendrocolaptes_picumnus,yes
Diglossa_brunneiventris,yes
Diglossa_caerulescens,yes
Diglossa_cyanea,yes
Diglossa_glauca,yes
Diglossa_mystacalis,yes
Diglossa_sittoides,yes
Drymophila_devillei,yes
Drymotoxeres_pucheranii,yes
Dysithamnus_mentalis,yes
Elaenia_albiceps,yes
Elaenia_gigas,yes
Elaenia_obscura,yes
Elaenia_pallatangae,yes
Elaenia_parvirostris,yes
Entomodestes_leucotis,yes
Epinecrophylla_erythrura,yes
Epinecrophylla_leucophthalma,yes
Epinecrophylla_ornata,yes
Eubucco_versicolor,yes
Eubucco_richardsoni,yes
Eubucco_tucinkae,yes
Euphonia_mesochrysa,yes
Euphonia_rufiventris,yes
Euphonia_xanthogaster,yes
Galbula_cyanescens,yes
Glyphorynchus_spirurus,yes
Gymnoderus_foetidus,yes
Habia_rubica,yes
Kleinothraupis_atropileus,yes
Sphenopsis_melanotis,yes
Kleinothraupis_parodii,yes
Thlypopsis_superciliaris,yes
Microspingus_trifasciatus,yes
Pseudospingus_xanthophthalmus,yes
Hemithraupis_flavicollis,yes
Hemithraupis_guira,yes
Hemitriccus_granadensis,yes
Hemitriccus_rufigularis,yes
Herpsilochmus_axillaris,yes
Herpsilochmus_rufimarginatus,yes
Automolus_subulatus,yes
Pachysylvia_hypoxantha,yes
Tunchiornis_ochraceiceps,yes
Hypocnemis_subflava,yes
Icterus_cayanensis,yes
Iridophanes_pulcherrimus,yes
Iridosornis_analis,yes
Iridosornis_jelskii,yes
Isleria_hauxwelli,yes
Knipolegus_signatus,yes
Lanio_versicolor,yes
Lathrotriccus_euleri,yes
Legatus_leucophaius,yes
Lepidocolaptes_lacrymiger,yes
Lepidothrix_coronata,yes
Leptopogon_amaurocephalus,yes
Leptopogon_superciliaris,yes
Malacoptila_fulvogularis,yes
Margarornis_squamiger,yes
Mecocerculus_leucophrys,yes
Mecocerculus_stictopterus,yes
Melanerpes_cruentatus,yes
Metopothrix_aurantiaca,yes
Microrhopias_quixensis,yes
Mionectes_macconnelli,yes
Mionectes_oleagineus,yes
Mionectes_olivaceus,yes
Mionectes_striaticollis,yes
Monasa_morphoeus,yes
Monasa_nigrifrons,yes
Myiarchus_cephalotes,yes
Myiarchus_tuberculifer,yes
Myiobius_barbatus,yes
Myioborus_miniatus,yes
Myioborus_melanocephalus,yes
Myiodynastes_maculatus,yes
Myiopagis_gaimardii,yes
Myiophobus_fasciatus,yes
Myiophobus_inornatus,yes
Nephelomyias_ochraceiventris,yes
Myiozetetes_cayanensis,yes
Hafferia_fortis,yes
Akletos_goeldii,yes
Myrmoborus_leucophrys,yes
Myrmoborus_myotherinus,yes
Myrmotherula_axillaris,yes
Myrmotherula_brachyura,yes
Myrmotherula_longicauda,yes
Myrmotherula_longipennis,yes
Myrmotherula_menetriesii,yes
Myrmotherula_multostriata,yes
Myrmotherula_schisticolor,yes
Ochthoeca_rufipectoralis,yes
Odontorchilus_branickii,yes
Pachyramphus_minor,yes
Pachyramphus_polychopterus,yes
Pachyramphus_versicolor,yes
Setophaga_pitiayumi,yes
Myrmoborus_lophotes,yes
Pheucticus_aureoventris,yes
Dendroma_erythroptera,yes
Philydor_erythrocercum,yes
Anabacerthia_ruficaudata,yes
Phyllomyias_cinereiceps,yes
Phylloscartes_ophthalmicus,yes
Phylloscartes_poecilotis,yes
Phylloscartes_ventralis,yes
Piaya_cayana,yes
Piculus_leucolaemus,yes
Ceratopipra_chloromeros,yes
Pipra_fasciicauda,yes
Pipraeidea_melanonota,yes
Pipreola_intermedia,yes
Piranga_leucoptera,yes
Piranga_flava,yes
Piranga_olivacea,yes
Poecilotriccus_albifacies,yes
Poecilotriccus_latirostris,yes
Poecilotriccus_plumbeiceps,yes
Premnoplex_brunnescens,yes
Premnornis_guttuliger,yes
Pseudocolaptes_boissonneautii,yes
Pygiptila_stellaris,yes
Pyrrhomyias_cinnamomeus,yes
Ramphocelus_carbo,yes
Ramphotrigon_fuscicauda,yes
Rhynchocyclus_fulvipectus,yes
Saltator_grossus,yes
Saltator_maximus,yes
Sclerurus_obscurior,yes
Syndactyla_ucayalae,yes
Sittasomus_griseicapillus,yes
Synallaxis_azarae,yes
Loriotus_cristatus,yes
Loriotus_luctuosus,yes
Loriotus_rufiventer,yes
Tangara_arthus,yes
Tangara_callophrys,yes
Tangara_chilensis,yes
Tangara_chrysotis,yes
Stilpnia_cyanicollis,yes
Tangara_cyanotis,yes
Tangara_gyrola,yes
Tangara_mexicana,yes
Tangara_nigroviridis,yes
Tangara_parzudakii,yes
Ixothraupis_punctata,yes
Chalcothraupis_ruficervix,yes
Tangara_schrankii,yes
Tangara_vassorii,yes
Tangara_velia,yes
Tangara_xanthocephala,yes
Ixothraupis_xanthogastra,yes
Terenotriccus_erythrurus,yes
Euchrepornis_callinota,yes
Thamnomanes_ardesiacus,yes
Thamnomanes_schistogynus,yes
Thamnophilus_doliatus,yes
Thamnophilus_aethiops,yes
Thamnophilus_palliatus,yes
Thamnophilus_schistaceus,yes
Thamnophilus_unicolor,yes
Thlypopsis_ornata,yes
Thlypopsis_ruficeps,yes
Rauenia_bonariensis,yes
Sporathraupis_cyanocephala,yes
Thraupis_episcopus,yes
Thraupis_palmarum,yes
Trichothraupis_melanops,yes
Thripadectes_melanorhynchus,yes
Thripophaga_fusciceps,yes
Tityra_semifasciata,yes
Todirostrum_chrysocrotaphum,yes
Tolmomyias_assimilis,yes
Troglodytes_solstitialis,yes
Trogon_personatus,yes
Trogon_collaris,yes
Trogon_curucui,yes
Trogon_melanurus,yes
Trogon_violaceus,yes
Trogon_viridis,yes
Turdus_nigriceps,yes
Dryobates_nigriceps,yes
Vireo_leucophrys,yes
Vireo_olivaceus,yes
Cryptopipo_holochlora,yes
Chloropipo_unicolor,yes
Xenops_minutus,yes
Xenops_rutilans,yes
Xenops_tenuirostris,yes
Xiphocolaptes_promeropirhynchus,yes
Xiphorhynchus_elegans,yes
Xiphorhynchus_guttatus,yes
Xiphorhynchus_ocellatus,yes
Xiphorhynchus_triangularis,yes
Dendroplex_picus,yes
Zimmerius_bolivianus,yes