"","species_jetz","low_limit","high_limit","n","species_from_detections","species_taxonomy_SACC_2021"
"1","Aburria_aburri",1074,1948,47,"Aburria_aburri","Aburria_aburri"
"2","Accipiter_bicolor",426,426,1,"Accipiter_bicolor","Accipiter_bicolor"
"3","Accipiter_collaris",1395,1395,1,"Accipiter_collaris","Accipiter_collaris"
"4","Accipiter_striatus",1514,2995,12,"Accipiter_striatus","Accipiter_striatus"
"5","Accipiter_superciliosus",415,415,1,"Accipiter_superciliosus","Accipiter_superciliosus"
"6","Adelomyia_melanogenys",938,2995,209,"Adelomyia_melanogenys","Adelomyia_melanogenys"
"7","Aglaeactis_castelnaudii",2911,2937,9,"Aglaeactis_castelnaudii","Aglaeactis_castelnaudii"
"8","Aglaeactis_cupripennis",2521,2991,38,"Aglaeactis_cupripennis","Aglaeactis_cupripennis"
"9","Aglaiocercus_kingi",1224,2650,32,"Aglaiocercus_kingii","Aglaiocercus_kingii"
"10","Amazilia_chionogaster",797,797,1,"Amazilia_chionogaster","Elliotomyia_chionogaster"
"11","Amazilia_lactea",415,415,1,"Amazilia_lactea","Chionomesa_lactea"
"12","Amazilia_viridicauda",1501,1501,1,"Amazilia_viridicauda","Elliotomyia_viridicauda"
"13","Amazona_farinosa",398,837,39,"Amazona_farinosa","Amazona_farinosa"
"14","Amazona_mercenaria",826,2942,136,"Amazona_mercenarius","Amazona_mercenarius"
"15","Amazona_ochrocephala",398,749,34,"Amazona_ochrocephala","Amazona_ochrocephala"
"16","Amblycercus_holosericeus",2458,3013,25,"Amblycercus_holosericeus","Amblycercus_holosericeus"
"17","Ammodramus_aurifrons",387,1492,46,"Ammodramus_aurifrons","Ammodramus_aurifrons"
"18","Ampelion_rubrocristatus",2521,2924,18,"Ampelion_rubrocristatus","Ampelion_rubrocristatus"
"19","Ampelion_rufaxilla",2820,2820,1,"Ampelion_rufaxilla","Ampelion_rufaxilla"
"20","Anabacerthia_striaticollis",969,2728,311,"Anabacerthia_striaticollis","Anabacerthia_striaticollis"
"21","Anabazenops_dorsalis",397,1304,78,"Anabazenops_dorsalis","Anabazenops_dorsalis"
"22","Anairetes_parulus",2816,2973,6,"Anairetes_parulus","Anairetes_parulus"
"23","Ancistrops_strigilatus",411,980,24,"Ancistrops_strigilatus","Ancistrops_strigilatus"
"24","Andigena_hypoglauca",2525,3159,70,"Andigena_hypoglauca","Andigena_hypoglauca"
"25","Anisognathus_igniventris",1717,3482,241,"Anisognathus_igniventris","Anisognathus_igniventris"
"26","Anisognathus_somptuosus",1514,2470,153,"Anisognathus_somptuosus","Anisognathus_somptuosus"
"27","Ara_ararauna",398,829,22,"Ara_ararauna","Ara_ararauna"
"28","Ara_macao",402,425,2,"Ara_macao","Ara_macao"
"29","Ara_militaris",718,1716,14,"Ara_militaris","Ara_militaris"
"30","Ara_severus",400,1236,83,"Ara_severus","Ara_severus"
"31","Aramides_cajanea",865,865,1,"Aramides_cajaneus","Aramides_cajaneus"
"32","Aratinga_leucophthalma",398,878,107,"Aratinga_leucophthalma","Psittacara_leucophthalmus"
"33","Aratinga_leucophthalma",398,878,107,NA,"Psittacara_leucophtalmus"
"34","Aratinga_mitrata",1621,3414,38,"Aratinga_mitrata","Psittacara_mitratus"
"35","Aratinga_weddellii",399,536,28,"Aratinga_weddellii","Aratinga_weddellii"
"36","Arremon_brunneinucha",1362,2109,54,"Arremon_brunneinucha","Arremon_brunneinucha"
"37","Arremon_castaneiceps",1129,1735,14,"Arremon_castaneiceps","Arremon_castaneiceps"
"38","Arremon_taciturnus",385,989,195,"Arremon_taciturnus","Arremon_taciturnus"
"39","Arremon_torquatus",2475,3032,61,"Arremon_torquatus","Arremon_torquatus"
"40","Atlapetes_melanolaemus",1383,3239,766,"Atlapetes_melanolaemus","Atlapetes_melanolaemus"
"41","Attila_spadiceus",399,1173,18,"Attila_spadiceus","Attila_spadiceus"
"42","Aulacorhynchus_coeruleicinctis",1454,2937,114,"Aulacorhynchus_coeruleicinctis","Aulacorhynchus_coeruleicinctis"
"43","Aulacorhynchus_derbianus",990,1852,36,"Aulacorhynchus_derbianus","Aulacorhynchus_derbianus"
"44","Aulacorhynchus_prasinus",381,1429,39,"Aulacorhynchus_prasinus","Aulacorhynchus_albivitta"
"45","Automolus_infuscatus",385,1134,68,"Automolus_infuscatus","Automolus_infuscatus"
"46","Automolus_melanopezus",354,1024,31,"Automolus_melanopezus","Automolus_melanopezus"
"47","Automolus_ochrolaemus",381,1655,227,"Automolus_ochrolaemus","Automolus_ochrolaemus"
"48","Automolus_rubiginosus",398,1279,19,"Automolus_rubiginosus","Clibanornis_rubiginosus"
"49","Automolus_rufipileatus",376,989,50,"Automolus_rufipileatus","Automolus_rufipileatus"
"50","Baryphthengus_martii",385,1621,66,"Baryphthengus_martii","Baryphthengus_martii"
"51","Basileuterus_bivittatus",634,1591,420,"Myiothlypis_bivittata","Myiothlypis_bivittata"
"52","Basileuterus_chrysogaster",535,1282,134,"Myiothlypis_chrysogaster","Myiothlypis_chrysogaster"
"53","Basileuterus_coronatus",1307,2728,503,"Myiothlypis_coronata","Myiothlypis_coronata"
"54","Basileuterus_luteoviridis",2305,3215,336,"Myiothlypis_luteoviridis","Myiothlypis_luteoviridis"
"55","Basileuterus_signatus",1428,2993,401,"Myiothlypis_signata","Myiothlypis_signata"
"56","Basileuterus_tristriatus",1146,2973,219,"Basileuterus_tristriatus","Basileuterus_tristriatus"
"57","Boissonneaua_matthewsii",1514,2974,40,"Boissonneaua_matthewsii","Boissonneaua_matthewsii"
"58","Bolborhynchus_lineola",1551,3383,32,"Bolborhynchus_lineola","Bolborhynchus_lineola"
"59","Bolborhynchus_orbygnesius",2673,2973,5,"Bolborhynchus_orbygnesius","Bolborhynchus_orbygnesius"
"60","Brotogeris_cyanoptera",414,426,6,"Brotogeris_cyanoptera","Brotogeris_cyanoptera"
"61","Brotogeris_sanctithomae",398,1074,22,"Brotogeris_sanctithomae","Brotogeris_sanctithomae"
"62","Bucco_capensis",395,449,8,"Bucco_capensis","Bucco_capensis"
"63","Bucco_macrodactylus",381,435,12,"Bucco_macrodactylus","Bucco_macrodactylus"
"64","Buteo_magnirostris",413,1202,9,"Buteo_magnirostris","Rupornis_magnirostris"
"65","Buteo_platypterus",2937,2937,1,"Buteo_platypterus","Buteo_platypterus"
"66","Buteo_polyosoma",2972,2972,1,"Buteo_polyosoma","Geranoaetus_polyosoma"
"67","Buteogallus_urubitinga",409,409,1,"Buteogallus_urubitinga","Buteogallus_urubitinga"
"68","Buthraupis_montana",2295,3239,300,"Buthraupis_montana","Buthraupis_montana"
"69","Cacicus_cela",381,934,25,"Cacicus_cela","Cacicus_cela"
"70","Cacicus_chrysonotus",2010,3342,213,"Cacicus_chrysonotus","Cacicus_chrysonotus"
"71","Cacicus_solitarius",381,387,8,"Cacicus_solitarius","Cacicus_solitarius"
"72","Campephilus_haematogaster",1362,2981,9,"Campephilus_haematogaster","Campephilus_haematogaster"
"73","Campephilus_melanoleucos",399,1336,43,"Campephilus_melanoleucos","Campephilus_melanoleucos"
"74","Campephilus_rubricollis",400,878,21,"Campephilus_rubricollis","Campephilus_rubricollis"
"75","Camptostoma_obsoletum",387,387,1,"Camptostoma_obsoletum","Camptostoma_obsoletum"
"76","Campylopterus_largipennis",381,1610,45,"Campylopterus_largipennis","Campylopterus_largipennis"
"77","Campylorhamphus_pucherani",797,2795,6,"Drymotoxeres_pucheranii","Drymotoxeres_pucheranii"
"78","Campylorhamphus_trochilirostris",381,1514,88,"Campylorhamphus_trochilirostris","Campylorhamphus_trochilirostris"
"79","Campylorhynchus_turdinus",400,1332,82,"Campylorhynchus_turdinus","Campylorhynchus_turdinus"
"80","Capito_auratus",398,1141,69,"Capito_auratus","Capito_auratus"
"81","Carduelis_magellanica",797,2973,42,"Carduelis_magellanica","Spinus_magellanicus"
"82","Carduelis_olivacea",1376,2741,8,"Carduelis_olivacea","Spinus_olivaceus"
"83","Catamblyrhynchus_diadema",1573,2981,41,"Catamblyrhynchus_diadema","Catamblyrhynchus_diadema"
"84","Catharus_dryas",1117,1573,190,"Catharus_dryas","Catharus_maculatus"
"85","Catharus_fuscater",1348,2745,2,"Catharus_fuscater","Catharus_fuscater"
"86","Catharus_ustulatus",344,2650,197,"Catharus_ustulatus","Catharus_ustulatus"
"87","Celeus_flavus",381,381,2,"Celeus_flavus","Celeus_flavus"
"88","Celeus_grammicus",410,725,8,"Celeus_grammicus","Celeus_grammicus"
"89","Celeus_spectabilis",381,381,2,"Celeus_spectabilis","Celeus_spectabilis"
"90","Cephalopterus_ornatus",1262,1583,5,"Cephalopterus_ornatus","Cephalopterus_ornatus"
"91","Cercomacra_cinerascens",392,823,105,"Cercomacra_cinerascens","Cercomacra_cinerascens"
"92","Cercomacra_manu",397,942,32,"Cercomacra_manu","Cercomacra_manu"
"93","Cercomacra_nigrescens",381,1514,11,"Cercomacra_nigrescens","Cercomacroides_nigrescens"
"94","Cercomacra_serva",399,1578,88,"Cercomacra_serva","Cercomacroides_serva"
"95","Chaetocercus_mulsant",1395,2816,5,"Chaetocercus_mulsant","Chaetocercus_mulsant"
"96","Chalcostigma_ruficeps",1973,3101,200,"Chalcostigma_ruficeps","Chalcostigma_ruficeps"
"97","Chamaeza_campanisona",1124,2590,80,"Chamaeza_campanisona","Chamaeza_campanisona"
"98","Chamaeza_mollissima",1948,2995,146,"Chamaeza_mollissima","Chamaeza_mollissima"
"99","Chamaeza_nobilis",400,425,3,"Chamaeza_nobilis","Chamaeza_nobilis"
"100","Charadrius_collaris",387,387,2,"Charadrius_collaris","Charadrius_collaris"
"101","Chelidoptera_tenebrosa",398,398,1,"Chelidoptera_tenebrosa","Chelidoptera_tenebrosa"
"102","Chiroxiphia_boliviana",866,2033,615,"Chiroxiphia_boliviana","Chiroxiphia_boliviana"
"103","Chloroceryle_aenea",381,956,9,"Chloroceryle_aenea","Chloroceryle_aenea"
"104","Chloroceryle_americana",1302,1302,1,"Chloroceryle_americana","Chloroceryle_americana"
"105","Chloroceryle_inda",397,398,2,"Chloroceryle_inda","Chloroceryle_inda"
"106","Chlorochrysa_calliparaea",969,1888,128,"Chlorochrysa_calliparaea","Chlorochrysa_calliparaea"
"107","Chlorophanes_spiza",402,1371,13,"Chlorophanes_spiza","Chlorophanes_spiza"
"108","Chlorophonia_cyanea",876,2527,169,"Chlorophonia_cyanea","Chlorophonia_cyanea"
"109","Chlorornis_riefferii",2292,3239,256,"Chlorornis_riefferii","Chlorornis_riefferii"
"110","Chlorospingus_canigularis",1129,1129,1,"Chlorospingus_canigularis","Chlorospingus_canigularis"
"111","Chlorospingus_flavigularis",850,2335,299,"Chlorospingus_flavigularis","Chlorospingus_flavigularis"
"112","Chlorospingus_ophthalmicus",1193,2728,258,"Chlorospingus_ophthalmicus","Chlorospingus_flavopectus"
"113","Chlorospingus_parvirostris",1134,2681,62,"Chlorospingus_parvirostris","Chlorospingus_parvirostris"
"114","Chlorostilbon_mellisugus",381,1514,21,"Chlorostilbon_mellisugus","Chlorostilbon_mellisugus"
"115","Chlorothraupis_carmioli",385,1090,245,"Chlorothraupis_carmioli","Chlorothraupis_carmioli"
"116","Chrysuronia_oenone",381,1449,22,"Chrysuronia_oenone","Chrysuronia_oenone"
"117","Cinclodes_albiventris",2742,2742,1,"Cinclodes_albiventris","Cinclodes_albiventris"
"118","Cinclus_leucocephalus",1654,2850,2,"Cinclus_leucocephalus","Cinclus_leucocephalus"
"119","Cinnycerthia_fulva",1948,3286,285,"Cinnycerthia_fulva","Cinnycerthia_fulva"
"120","Cissopis_leverianus",387,1309,13,"Cissopis_leverianus","Cissopis_leverianus"
"121","Cistothorus_platensis",2705,3016,5,"Cistothorus_platensis","Cistothorus_platensis"
"122","Claravis_mondetoura",2319,2673,3,"Claravis_mondetoura","Paraclaravis_mondetoura"
"123","Clypicterus_oseryi",400,538,9,"Cacicus_oseryi","Cacicus_oseryi"
"124","Cnemarchus_erythropygius",2524,2524,1,"Cnemarchus_erythropygius","Cnemarchus_erythropygius"
"125","Cnemoscopus_rubrirostris",2319,2995,27,"Cnemoscopus_rubrirostris","Cnemoscopus_rubrirostris"
"126","Cnemotriccus_fuscatus",387,411,4,"Cnemotriccus_fuscatus","Cnemotriccus_fuscatus"
"127","Coccyzus_americanus",412,412,1,"Coccyzus_americanus","Coccyzus_americanus"
"128","Coccyzus_melacoryphus",444,444,1,"Coccyzus_melacoryphus","Coccyzus_melacoryphus"
"129","Coeligena_coeligena",1134,2937,157,"Coeligena_coeligena","Coeligena_coeligena"
"130","Coeligena_torquata",2182,2887,76,"Coeligena_torquata","Coeligena_torquata"
"131","Coeligena_violifer",2458,3377,407,"Coeligena_violifer","Coeligena_violifer"
"132","Coereba_flaveola",797,1449,121,"Coereba_flaveola","Coereba_flaveola"
"133","Colaptes_punctigula",1280,1280,1,"Colaptes_punctigula","Colaptes_punctigula"
"134","Colaptes_rivolii",1230,2991,89,"Colaptes_rivolii","Colaptes_rivolii"
"135","Colaptes_rubiginosus",425,2010,140,"Colaptes_rubiginosus","Colaptes_rubiginosus"
"136","Colibri_coruscans",1134,2992,92,"Colibri_coruscans","Colibri_coruscans"
"137","Colibri_thalassinus",1134,2901,171,"Colibri_thalassinus","Colibri_cyanotus"
"138","Colonia_colonus",989,1230,3,"Colonia_colonus","Colonia_colonus"
"139","Columbina_talpacoti",387,387,1,"Columbina_talpacoti","Columbina_talpacoti"
"140","Conirostrum_albifrons",2319,2872,23,"Conirostrum_albifrons","Conirostrum_albifrons"
"141","Conirostrum_ferrugineiventre",2711,3424,3,"Conirostrum_ferrugineiventre","Conirostrum_ferrugineiventre"
"142","Conirostrum_sitticolor",2305,2993,12,"Conirostrum_sitticolor","Conirostrum_sitticolor"
"143","Conopias_cinchoneti",968,1584,74,"Conopias_cinchoneti","Conopias_cinchoneti"
"144","Conopophaga_ardesiaca",952,2728,182,"Conopophaga_ardesiaca","Conopophaga_ardesiaca"
"145","Conopophaga_castaneiceps",1362,1395,4,"Conopophaga_castaneiceps","Conopophaga_castaneiceps"
"146","Conopophaga_peruviana",360,732,74,"Conopophaga_peruviana","Conopophaga_peruviana"
"147","Contopus_fumigatus",1081,3101,143,"Contopus_fumigatus","Contopus_fumigatus"
"148","Contopus_sordidulus",1217,1255,3,"Contopus_sordidulus","Contopus_sordidulus"
"149","Corythopis_torquatus",381,1083,128,"Corythopis_torquatus","Corythopis_torquatus"
"150","Cranioleuca_curtata",613,1821,128,"Cranioleuca_curtata","Cranioleuca_curtata"
"151","Cranioleuca_gutturata",419,680,3,"Cranioleuca_gutturata","Cranioleuca_gutturata"
"152","Cranioleuca_marcapatae",2636,2993,35,"Cranioleuca_marcapatae","Cranioleuca_marcapatae"
"153","Creurgops_dentatus",1468,2344,24,"Creurgops_dentatus","Creurgops_dentatus"
"154","Crypturellus_atrocapillus",403,749,17,"Crypturellus_atrocapillus","Crypturellus_atrocapillus"
"155","Crypturellus_bartletti",378,599,38,"Crypturellus_bartletti","Crypturellus_bartletti"
"156","Crypturellus_cinereus",398,536,16,"Crypturellus_cinereus","Crypturellus_cinereus"
"157","Crypturellus_obsoletus",960,3013,263,"Crypturellus_obsoletus","Crypturellus_obsoletus"
"158","Crypturellus_soui",371,1115,48,"Crypturellus_soui","Crypturellus_soui"
"159","Crypturellus_undulatus",338,435,20,"Crypturellus_undulatus","Crypturellus_undulatus"
"160","Crypturellus_variegatus",414,599,11,"Crypturellus_variegatus","Crypturellus_variegatus"
"161","Cyanerpes_caeruleus",408,1432,17,"Cyanerpes_caeruleus","Cyanerpes_caeruleus"
"162","Cyanerpes_cyaneus",431,1134,4,"Cyanerpes_cyaneus","Cyanerpes_cyaneus"
"163","Cyanocompsa_cyanoides",381,1213,88,"Cyanocompsa_cyanoides","Cyanoloxia_cyanoides"
"164","Cyanocorax_cyanomelas",407,435,8,"Cyanocorax_cyanomelas","Cyanocorax_cyanomelas"
"165","Cyanocorax_violaceus",398,1255,64,"Cyanocorax_violaceus","Cyanocorax_violaceus"
"166","Cyanocorax_yncas",1061,2065,104,"Cyanocorax_yncas","Cyanocorax_yncas"
"167","Cyanolyca_viridicyanus",2290,3101,272,"Cyanolyca_viridicyanus","Cyanolyca_viridicyanus"
"168","Cymbilaimus_lineatus",422,453,13,"Cymbilaimus_lineatus","Cymbilaimus_lineatus"
"169","Cymbilaimus_sanctaemariae",409,1279,45,"Cymbilaimus_sanctaemariae","Cymbilaimus_sanctaemariae"
"170","Cyphorhinus_arada",379,445,42,"Cyphorhinus_arada","Cyphorhinus_arada"
"171","Cyphorhinus_thoracicus",981,2590,211,"Cyphorhinus_thoracicus","Cyphorhinus_thoracicus"
"172","Dacnis_cayana",419,1397,8,"Dacnis_cayana","Dacnis_cayana"
"173","Dacnis_flaviventer",416,416,2,"Dacnis_flaviventer","Dacnis_flaviventer"
"174","Dacnis_lineata",568,568,1,"Dacnis_lineata","Dacnis_lineata"
"175","Daptrius_ater",515,622,3,"Daptrius_ater","Daptrius_ater"
"176","Deconychura_longicauda",395,1339,39,"Deconychura_longicauda","Deconychura_longicauda"
"177","Delothraupis_castaneoventris",2305,3101,35,"Delothraupis_castaneoventris","Dubusia_castaneoventris"
"178","Dendrexetastes_rufigula",385,1395,62,"Dendrexetastes_rufigula","Dendrexetastes_rufigula"
"179","Dendrocincla_fuliginosa",381,1454,140,"Dendrocincla_fuliginosa","Dendrocincla_fuliginosa"
"180","Dendrocincla_merula",381,648,100,"Dendrocincla_merula","Dendrocincla_merula"
"181","Dendrocincla_tyrannina",2319,2973,64,"Dendrocincla_tyrannina","Dendrocincla_tyrannina"
"182","Dendrocolaptes_certhia",381,1217,30,"Dendrocolaptes_certhia","Dendrocolaptes_certhia"
"183","Dendrocolaptes_picumnus",397,1654,43,"Dendrocolaptes_picumnus","Dendrocolaptes_picumnus"
"184","Dendroplex_picus",430,430,1,"Xyphorinchus_picus","Dendroplex_picus"
"185","Dichrozona_cincta",400,429,8,"Dichrozona_cincta","Dichrozona_cincta"
"186","Diglossa_brunneiventris",2527,3049,58,"Diglossa_brunneiventris","Diglossa_brunneiventris"
"187","Diglossa_caerulescens",1397,2676,24,"Diglossa_caerulescens","Diglossa_caerulescens"
"188","Diglossa_cyanea",1397,3482,899,"Diglossa_cyanea","Diglossa_cyanea"
"189","Diglossa_glauca",1061,2728,238,"Diglossa_glauca","Diglossa_glauca"
"190","Diglossa_mystacalis",2742,3482,47,"Diglossa_mystacalis","Diglossa_mystacalis"
"191","Diglossa_sittoides",2527,2810,5,"Diglossa_sittoides","Diglossa_sittoides"
"192","Discosura_popelairii",1202,1202,1,"Discosura_popelairii","Discosura_popelairii"
"193","Doryfera_johannae",425,1050,14,"Doryfera_johannae","Doryfera_johannae"
"194","Doryfera_ludovicae",717,2728,223,"Doryfera_ludovicae","Doryfera_ludovicae"
"195","Dromococcyx_pavoninus",399,1454,8,"Dromococcyx_pavoninus","Dromococcyx_pavoninus"
"196","Drymophila_caudata",1387,2952,71,"Drymophila_caudata","Drymophila_caudata"
"197","Drymophila_devillei",392,1083,26,"Drymophila_devillei","Drymophila_devillei"
"198","Dryocopus_lineatus",934,1224,5,"Dryocopus_lineatus","Dryocopus_lineatus"
"199","Dubusia_taeniata",2305,2742,4,"Dubusia_taeniata","Dubusia_taeniata"
"200","Dysithamnus_mentalis",610,1735,173,"Dysithamnus_mentalis","Dysithamnus_mentalis"
"201","Elaenia_albiceps",956,2991,28,"Elaenia_albiceps","Elaenia_albiceps"
"202","Elaenia_gigas",387,2993,3,"Elaenia_gigas","Elaenia_gigas"
"203","Elaenia_obscura",2845,2845,1,"Elaenia_obscura","Elaenia_obscura"
"204","Elaenia_pallatangae",1724,3095,259,"Elaenia_pallatangae","Elaenia_pallatangae"
"205","Elaenia_parvirostris",1146,1146,1,"Elaenia_parvirostris","Elaenia_parvirostris"
"206","Elaenia_spectabilis",387,1449,12,"Elaenia_spectabilis","Elaenia_spectabilis"
"207","Elanoides_forficatus",818,818,1,"Elanoides_forficatus","Elanoides_forficatus"
"208","Electron_platyrhynchum",381,714,40,"Electron_platyrhynchum","Electron_platyrhynchum"
"209","Empidonax_alnorum",387,770,4,"Empidonax_alnorum","Empidonax_alnorum"
"210","Ensifera_ensifera",2650,2650,1,"Ensifera_ensifera","Ensifera_ensifera"
"211","Entomodestes_leucotis",1134,2816,378,"Entomodestes_leucotis","Entomodestes_leucotis"
"212","Epinecrophylla_erythrura",384,877,36,"Epinecrophylla_erythrura","Epinecrophylla_erythrura"
"213","Epinecrophylla_haematonota",398,398,1,"Epinecrophylla_haematonota","Epinecrophylla_haematonota"
"214","Epinecrophylla_leucophthalma",385,600,49,"Epinecrophylla_leucophthalma","Epinecrophylla_leucophthalma"
"215","Epinecrophylla_ornata",441,1651,63,"Epinecrophylla_ornata","Epinecrophylla_ornata"
"216","Epinecrophylla_spodionota",823,1501,36,"Epinecrophylla_spodionota","Epinecrophylla_spodionota"
"217","Eubucco_richardsoni",398,431,11,"Eubucco_richardsoni","Eubucco_richardsoni"
"218","Eubucco_tucinkae",392,450,8,"Eubucco_tucinkae","Eubucco_tucinkae"
"219","Eubucco_versicolor",1110,1862,44,"Eubucco_versicolor","Eubucco_versicolor"
"220","Euphonia_chlorotica",397,413,2,"Euphonia_chlorotica","Euphonia_chlorotica"
"221","Euphonia_chrysopasta",402,419,3,"Euphonia_chrysopasta","Euphonia_chrysopasta"
"222","Euphonia_laniirostris",397,438,5,"Euphonia_laniirostris","Euphonia_laniirostris"
"223","Euphonia_mesochrysa",1095,1735,40,"Euphonia_mesochrysa","Euphonia_mesochrysa"
"224","Euphonia_rufiventris",400,1117,15,"Euphonia_rufiventris","Euphonia_rufiventris"
"225","Euphonia_xanthogaster",369,2728,616,"Euphonia_xanthogaster","Euphonia_xanthogaster"
"226","Eurypyga_helias",1134,1134,1,"Eurypyga_helias","Eurypyga_helias"
"227","Eutoxeres_condamini",381,2728,286,"Eutoxeres_condamini","Eutoxeres_condamini"
"228","Florisuga_mellivora",381,1573,30,"Florisuga_mellivora","Florisuga_mellivora"
"229","Formicarius_analis",365,1246,216,"Formicarius_analis","Formicarius_analis"
