"","species_jetz","low_limit","high_limit","n","species_from_detections","species_taxonomy_SACC_2021"
"230","Formicarius_colma",385,599,12,"Formicarius_colma","Formicarius_colma"
"231","Formicarius_rufifrons",1279,1584,4,"Formicarius_rufifrons","Formicarius_rufifrons"
"232","Formicarius_rufipectus",1139,2012,177,"Formicarius_rufipectus","Formicarius_rufipectus"
"233","Frederickena_unduligera",415,439,4,"Frederickena_unduliger","Frederickena_unduliger"
"234","Furnarius_leucopus",381,1376,8,"Furnarius_leucopus","Furnarius_leucopus"
"235","Galbula_cyanescens",361,1425,74,"Galbula_cyanescens","Galbula_cyanescens"
"236","Geothlypis_aequinoctialis",387,387,1,"Geothlypis_aequinoctialis","Geothlypis_aequinoctialis"
"237","Geotrygon_frenata",850,3040,78,"Geotrygon_frenata","Zentrygon_frenata"
"238","Geotrygon_montana",332,1735,331,"Geotrygon_montana","Geotrygon_montana"
"239","Geotrygon_saphirina",2726,2726,1,"Geotrygon_saphirina","Geotrygon_saphirina"
"240","Glaucidium_bolivianum",2312,3414,76,"Glaucidium_bolivianum","Glaucidium_bolivianum"
"241","Glaucidium_brasilianum",392,421,4,"Glaucidium_brasilianum","Glaucidium_brasilianum"
"242","Glaucidium_hardyi",381,599,3,"Glaucidium_hardyi","Glaucidium_hardyi"
"243","Glaucis_hirsutus",345,508,70,"Glaucis_hirsutus","Glaucis_hirsutus"
"244","Glyphorynchus_spirurus",347,1514,632,"Glyphorynchus_spirurus","Glyphorynchus_spirurus"
"245","Grallaria_albigula",1506,2554,126,"Grallaria_albigula","Grallaria_albigula"
"246","Grallaria_erythroleuca",1758,3049,678,"Grallaria_erythroleuca","Grallaria_erythroleuca"
"247","Grallaria_guatimalensis",1173,1716,61,"Grallaria_guatimalensis","Grallaria_guatimalensis"
"248","Grallaria_rufula",2109,3414,107,"Grallaria_rufula","Grallaria_rufula"
"249","Grallaria_squamigera",2465,3414,28,"Grallaria_squamigera","Grallaria_squamigera"
"250","Grallaricula_ferrugineipectus",2458,3013,47,"Grallaricula_ferrugineipectus","Grallaricula_ferrugineipectus"
"251","Grallaricula_flavirostris",1449,2728,12,"Grallaricula_flavirostris","Grallaricula_flavirostris"
"252","Gymnoderus_foetidus",404,404,1,"Gymnoderus_foetidus","Gymnoderus_foetidus"
"253","Gymnopithys_salvini",381,853,158,"Gymnopithys_salvini","Oneillornis_salvini"
"254","Habia_rubica",381,680,50,"Habia_rubica","Habia_rubica"
"255","Haplophaedia_assimilis",1134,2538,9,"Haplophaedia_assimilis","Haplophaedia_assimilis"
"256","Haplophaedia_aureliae",2521,2542,4,"Haplophaedia_aureliae","Haplophaedia_aureliae"
"257","Haplospiza_rustica",1134,2995,36,"Haplospiza_rustica","Haplospiza_rustica"
"258","Harpyhaliaetus_solitarius",2364,2364,1,"Harpyhaliaetus_solitarius","Buteogallus_solitarius"
"259","Heliangelus_amethysticollis",2061,3383,424,"Heliangelus_amethysticollis","Heliangelus_amethysticollis"
"260","Heliodoxa_aurescens",344,1129,22,"Heliodoxa_aurescens","Heliodoxa_aurescens"
"261","Heliodoxa_leadbeateri",1088,2728,333,"Heliodoxa_leadbeateri","Heliodoxa_leadbeateri"
"262","Heliodoxa_rubinoides",1954,2324,7,"Heliodoxa_rubinoides","Heliodoxa_rubinoides"
"263","Heliodoxa_schreibersii",1124,1501,9,"Heliodoxa_schreibersii","Heliodoxa_schreibersii"
"264","Heliothryx_auritus",397,1129,2,"Heliothryx_auritus","Heliothryx_auritus"
"265","Hemispingus_atropileus",1950,3032,146,"Hemispingus_atropileus","Kleinothraupis_atropileus"
"266","Hemispingus_frontalis",1871,3235,9,"Hemispingus_frontalis","Sphenopsis_frontalis"
"267","Hemispingus_melanotis",1134,2816,255,"Hemispingus_melanotis","Sphenopsis_melanotis"
"268","Hemispingus_parodii",2576,2676,2,"Hemispingus_parodii","Kleinothraupis_parodii"
"269","Hemispingus_superciliaris",2324,2993,30,"Hemispingus_superciliaris","Thlypopsis_superciliaris"
"270","Hemispingus_trifasciatus",2830,3424,12,"Hemispingus_trifasciatus","Microspingus_trifasciatus"
"271","Hemispingus_xanthophthalmus",2520,3013,20,"Pseudospingus_xanthophthalmus","Pseudospingus_xanthophthalmus"
"272","Hemithraupis_flavicollis",404,826,6,"Hemithraupis_flavicollis","Hemithraupis_flavicollis"
"273","Hemithraupis_guira",407,1724,4,"Hemithraupis_guira","Hemithraupis_guira"
"274","Hemitriccus_flammulatus",400,951,21,"Hemitriccus_flammulatus","Hemitriccus_flammulatus"
"275","Hemitriccus_granadensis",1033,3239,317,"Hemitriccus_granadensis","Hemitriccus_granadensis"
"276","Hemitriccus_griseipectus",385,585,24,"Hemitriccus_griseipectus","Hemitriccus_griseipectus"
"277","Hemitriccus_iohannis",515,515,1,"Hemitriccus_iohannis","Hemitriccus_iohannis"
"278","Hemitriccus_rufigularis",1090,1173,2,"Hemitriccus_rufigularis","Hemitriccus_rufigularis"
"279","Henicorhina_leucophrys",1137,2787,848,"Henicorhina_leucophrys","Henicorhina_leucophrys"
"280","Herpetotheres_cachinnans",422,1404,5,"Herpetotheres_cachinnans","Herpetotheres_cachinnans"
"281","Herpsilochmus_axillaris",969,1578,71,"Herpsilochmus_axillaris","Herpsilochmus_axillaris"
"282","Herpsilochmus_rufimarginatus",762,1024,2,"Herpsilochmus_rufimarginatus","Herpsilochmus_rufimarginatus"
"283","Hydropsalis_climacocerca",387,1432,22,"Hydropsalis_climacocerca","Hydropsalis_climacocerca"
"284","Hylocharis_cyanus",413,417,3,"Hylocharis_cyanus","Chlorestes_cyanus"
"285","Hyloctistes_subulatus",381,1129,66,"Hyloctistes_subulatus","Automolus_subulatus"
"286","Hylopezus_berlepschi",406,435,12,"Hylopezus_berlepschi","Myrmothera_berlepschi"
"287","Hylophilus_hypoxanthus",344,1024,88,"Hylophilus_hypoxanthus","Pachysylvia_hypoxantha"
"288","Hylophilus_ochraceiceps",355,1139,59,"Hylophilus_ochraceiceps","Tunchiornis_ochraceiceps"
"289","Hylophilus_thoracicus",419,426,15,"Hylophilus_thoracicus","Hylophilus_thoracicus"
"290","Hylophylax_naevius",343,1339,237,"Hylophylax_naevius","Hylophylax_naevius"
"291","Hypocnemis_cantator",381,1496,310,"Hypocnemis_subflava","Hypocnemis_subflava"
"292","Hypocnemoides_maculicauda",381,407,3,"Hypocnemoides_maculicauda","Hypocnemoides_maculicauda"
"293","Ibycter_americanus",398,895,11,"Ibycter_americanus","Ibycter_americanus"
"294","Icterus_cayanensis",404,419,2,"Icterus_cayanensis","Icterus_cayanensis"
"295","Iridophanes_pulcherrimus",1127,1888,5,"Iridophanes_pulcherrimus","Iridophanes_pulcherrimus"
"296","Iridosornis_analis",850,2816,147,"Iridosornis_analis","Iridosornis_analis"
"297","Iridosornis_jelskii",2312,3482,95,"Iridosornis_jelskii","Iridosornis_jelskii"
"298","Jacamerops_aureus",418,467,3,"Jacamerops_aureus","Jacamerops_aureus"
"299","Klais_guimeti",1202,1202,1,"Klais_guimeti","Klais_guimeti"
"300","Knipolegus_aterrimus",2685,2937,3,"Knipolegus_aterrimus","Knipolegus_aterrimus"
"301","Knipolegus_signatus",2783,2783,1,"Knipolegus_signatus","Knipolegus_signatus"
"302","Lafresnaya_lafresnayi",2617,2816,2,"Lafresnaya_lafresnayi","Lafresnaya_lafresnayi"
"303","Laniisoma_elegans",410,410,1,"Laniisoma_elegans","Laniisoma_elegans"
"304","Lanio_versicolor",392,1279,149,"Lanio_versicolor","Lanio_versicolor"
"305","Laniocera_hypopyrra",385,600,28,"Laniocera_hypopyrra","Laniocera_hypopyrra"
"306","Lathrotriccus_euleri",381,1716,65,"Lathrotriccus_euleri","Lathrotriccus_euleri"
"307","Legatus_leucophaius",400,1387,41,"Legatus_leucophaius","Legatus_leucophaius"
"308","Lepidocolaptes_albolineatus",381,430,3,"Lepidocolaptes_fatimalimae","Lepidocolaptes_fatimalimae"
"309","Lepidocolaptes_lacrymiger",1131,2831,53,"Lepidocolaptes_lacrymiger","Lepidocolaptes_lacrymiger"
"310","Lepidothrix_coeruleocapilla",797,1821,263,"Lepidothrix_coeruleocapilla","Lepidothrix_coeruleocapilla"
"311","Lepidothrix_coronata",363,1362,418,"Lepidothrix_coronata","Lepidothrix_coronata"
"312","Leptopogon_amaurocephalus",357,1337,177,"Leptopogon_amaurocephalus","Leptopogon_amaurocephalus"
"313","Leptopogon_superciliaris",866,2369,326,"Leptopogon_superciliaris","Leptopogon_superciliaris"
"314","Leptopogon_taczanowskii",2312,2542,8,"Leptopogon_taczanowskii","Leptopogon_taczanowskii"
"315","Leptosittaca_branickii",2312,2324,2,"Leptosittaca_branickii","Leptosittaca_branickii"
"316","Leptotila_rufaxilla",367,1387,85,"Leptotila_rufaxilla","Leptotila_rufaxilla"
"317","Leptotila_verreauxi",407,1336,2,"Leptotila_verreauxi","Leptotila_verreauxi"
"318","Lesbia_nuna",1950,2911,3,"Lesbia_nuna","Lesbia_nuna"
"319","Leucippus_chlorocercus",387,387,3,"Leucippus_chlorocercus","Talaphorus_chlorocercus"
"320","Leucopternis_kuhli",418,418,1,"Leucopternis_kuhli","Leucopternis_kuhli"
"321","Leucopternis_melanops",436,436,1,"Leucopternis_melanops","Leucopternis_melanops"
"322","Liosceles_thoracicus",399,1117,153,"Liosceles_thoracicus","Liosceles_thoracicus"
"323","Lipaugus_vociferans",395,585,126,"Lipaugus_vociferans","Lipaugus_vociferans"
"324","Lochmias_nematura",818,2290,32,"Lochmias_nematura","Lochmias_nematura"
"325","Lophostrix_cristata",425,599,2,"Lophostrix_cristata","Lophostrix_cristata"
"326","Lophotriccus_eulophotes",344,344,1,"Lophotriccus_eulophotes","Lophotriccus_eulophotes"
"327","Lophotriccus_pileatus",850,1821,450,"Lophotriccus_pileatus","Lophotriccus_pileatus"
"328","Lurocalis_rufiventris",2575,2575,1,"Lurocalis_rufiventris","Lurocalis_rufiventris"
"329","Lurocalis_semitorquatus",599,599,1,"Lurocalis_semitorquatus","Lurocalis_semitorquatus"
"330","Machaeropterus_pyrocephalus",381,1429,146,"Machaeropterus_pyrocephalus","Machaeropterus_pyrocephalus"
"331","Malacoptila_fulvogularis",1213,2728,57,"Malacoptila_fulvogularis","Malacoptila_fulvogularis"
"332","Malacoptila_semicincta",385,837,22,"Malacoptila_semicincta","Malacoptila_semicincta"
"333","Manacus_manacus",381,956,4,"Manacus_manacus","Manacus_manacus"
"334","Margarornis_squamiger",1998,3424,114,"Margarornis_squamiger","Margarornis_squamiger"
"335","Mecocerculus_leucophrys",1954,3396,56,"Mecocerculus_leucophrys","Mecocerculus_leucophrys"
"336","Mecocerculus_stictopterus",2292,3383,271,"Mecocerculus_stictopterus","Mecocerculus_stictopterus"
"337","Megaceryle_torquata",381,431,2,"Megaceryle_torquata","Megaceryle_torquata"
"338","Megascops_albogularis",2550,2787,5,"Megascops_albogularis","Megascops_albogularis"
"339","Megascops_choliba",430,430,1,"Megascops_choliba","Megascops_choliba"
"340","Megascops_ingens",1337,1735,2,"Megascops_ingens","Megascops_ingens"
"341","Megascops_watsonii",404,526,7,"Megascops_watsonii","Megascops_watsonii"
"342","Melanerpes_cruentatus",404,1013,27,"Melanerpes_cruentatus","Melanerpes_cruentatus"
"343","Metallura_aeneocauda",2788,2973,2,"Metallura_aeneocauda","Metallura_aeneocauda"
"344","Metallura_tyrianthina",2319,3414,283,"Metallura_tyrianthina","Metallura_tyrianthina"
"345","Metopothrix_aurantiaca",433,433,1,"Metopothrix_aurantiaca","Metopothrix_aurantiaca"
"346","Micrastur_buckleyi",429,549,2,"Micrastur_buckleyi","Micrastur_buckleyi"
"347","Micrastur_buckleyi",429,549,2,NA,"Micraster_buckleyi"
"348","Micrastur_gilvicollis",385,983,8,"Micrastur_gilvicollis","Micrastur_gilvicollis"
"349","Micrastur_mirandollei",430,430,1,"Micrastur_mirandollei","Micrastur_mirandollei"
"350","Micrastur_ruficollis",381,2154,75,"Micrastur_ruficollis","Micrastur_ruficollis"
"351","Micrastur_semitorquatus",430,430,1,"Micrastur_semitorquatus","Micrastur_semitorquatus"
"352","Micrastur_semitorquatus",430,430,1,NA,"Micraster_semitorquatus"
"353","Microbates_cinereiventris",1210,1210,1,"Microbates_cinereiventris","Microbates_cinereiventris"
"354","Microcerculus_marginatus",381,1339,358,"Microcerculus_marginatus","Microcerculus_marginatus"
"355","Micromonacha_lanceolata",944,1852,22,"Micromonacha_lanceolata","Micromonacha_lanceolata"
"356","Microrhopias_quixensis",397,1279,53,"Microrhopias_quixensis","Microrhopias_quixensis"
"357","Mionectes_macconnelli",378,1514,168,"Mionectes_macconnelli","Mionectes_macconnelli"
"358","Mionectes_oleagineus",381,1735,413,"Mionectes_oleagineus","Mionectes_oleagineus"
"359","Mionectes_olivaceus",381,1735,509,"Mionectes_olivaceus","Mionectes_olivaceus"
"360","Mionectes_striaticollis",714,3377,967,"Mionectes_striaticollis","Mionectes_striaticollis"
"361","Mitrephanes_olivaceus",1376,1702,5,"Mitrephanes_olivaceus","Mitrephanes_olivaceus"
"362","Mitu_tuberosum",409,975,5,"Mitu_tuberosum","Mitu_tuberosum"
"363","Momotus_aequatorialis",1262,2743,11,"Momotus_aequatorialis","Momotus_aequatorialis"
"364","Momotus_momota",381,1758,87,"Momotus_momota","Momotus_momota"
"365","Monasa_morphoeus",385,599,24,"Monasa_morphoeus","Monasa_morphoeus"
"366","Monasa_nigrifrons",381,585,43,"Monasa_nigrifrons","Monasa_nigrifrons"
"367","Muscisaxicola_fluviatilis",387,387,2,"Muscisaxicola_fluviatilis","Syrtidicola_fluviatilis"
"368","Myadestes_ralloides",797,3049,441,"Myadestes_ralloides","Myadestes_ralloides"
"369","Myiarchus_cephalotes",1013,1348,2,"Myiarchus_cephalotes","Myiarchus_cephalotes"
"370","Myiarchus_ferox",387,990,8,"Myiarchus_ferox","Myiarchus_ferox"
"371","Myiarchus_tuberculifer",520,3239,114,"Myiarchus_tuberculifer","Myiarchus_tuberculifer"
"372","Myiobius_barbatus",385,646,53,"Myiobius_barbatus","Myiobius_barbatus"
"373","Myiobius_villosus",853,1735,32,"Myiobius_villosus","Myiobius_villosus"
"374","Myioborus_melanocephalus",1376,3383,791,"Myioborus_melanocephalus","Myioborus_melanocephalus"
"375","Myioborus_miniatus",818,2986,611,"Myioborus_miniatus","Myioborus_miniatus"
"376","Myiodynastes_chrysocephalus",989,2734,89,"Myiodynastes_chrysocephalus","Myiodynastes_chrysocephalus"
"377","Myiodynastes_maculatus",381,1339,4,"Myiodynastes_maculatus","Myiodynastes_maculatus"
"378","Myiopagis_gaimardii",400,622,13,"Myiopagis_gaimardii","Myiopagis_gaimardii"
"379","Myiophobus_fasciatus",387,1672,10,"Myiophobus_fasciatus","Myiophobus_fasciatus"
"380","Myiophobus_inornatus",956,1998,17,"Myiophobus_inornatus","Myiophobus_inornatus"
"381","Myiophobus_ochraceiventris",2324,3215,19,"Nephelomyias_ochraceiventris","Nephelomyias_ochraceiventris"
"382","Myiornis_ecaudatus",400,960,13,"Myiornis_ecaudatus","Myiornis_ecaudatus"
"383","Myiotheretes_fumigatus",2521,2742,2,"Myiotheretes_fumigatus","Myiotheretes_fumigatus"
"384","Myiotheretes_fuscorufus",2521,2985,13,"Myiotheretes_fuscorufus","Myiotheretes_fuscorufus"
"385","Myiotheretes_striaticollis",1059,3032,45,"Myiotheretes_striaticollis","Myiotheretes_striaticollis"
"386","Myiotriccus_ornatus",818,1202,33,"Myiotriccus_ornatus","Myiotriccus_ornatus"
"387","Myiozetetes_cayanensis",1371,1371,1,"Myiozetetes_cayanensis","Myiozetetes_cayanensis"
"388","Myiozetetes_granadensis",387,1006,10,"Myiozetetes_granadensis","Myiozetetes_granadensis"
"389","Myiozetetes_similis",1303,1303,1,"Myiozetetes_similis","Myiozetetes_similis"
"390","Myrmeciza_atrothorax",381,1334,27,"Myrmeciza_atrothorax","Myrmophylax_atrothorax"
"391","Myrmeciza_fortis",385,1101,44,"Myrmeciza_fortis","Hafferia_fortis"
"392","Myrmeciza_goeldii",381,1090,70,"Myrmeciza_goeldii","Akletos_goeldii"
"393","Myrmeciza_hemimelaena",381,1395,338,"Myrmeciza_hemimelaena","Sciaphylax_hemimelaena"
"394","Myrmoborus_leucophrys",381,1279,191,"Myrmoborus_leucophrys","Myrmoborus_leucophrys"
"395","Myrmoborus_myotherinus",381,1262,235,"Myrmoborus_myotherinus","Myrmoborus_myotherinus"
"396","Myrmothera_campanisona",385,1334,110,"Myrmothera_campanisona","Myrmothera_campanisona"
"397","Myrmotherula_axillaris",381,1501,183,"Myrmotherula_axillaris","Myrmotherula_axillaris"
"398","Myrmotherula_brachyura",399,1301,62,"Myrmotherula_brachyura","Myrmotherula_brachyura"
"399","Myrmotherula_hauxwelli",376,599,173,"Isleria_hauxwelli","Isleria_hauxwelli"
"400","Myrmotherula_iheringi",398,1307,6,"Myrmotherula_iheringi","Myrmotherula_iheringi"
"401","Myrmotherula_longicauda",837,1429,103,"Myrmotherula_longicauda","Myrmotherula_longicauda"
"402","Myrmotherula_longipennis",381,643,40,"Myrmotherula_longipennis","Myrmotherula_longipennis"
"403","Myrmotherula_menetriesii",397,1380,76,"Myrmotherula_menetriesii","Myrmotherula_menetriesii"
"404","Myrmotherula_multostriata",397,1279,3,"Myrmotherula_multostriata","Myrmotherula_multostriata"
"405","Myrmotherula_schisticolor",989,2578,118,"Myrmotherula_schisticolor","Myrmotherula_schisticolor"
"406","Myrmotherula_sclateri",419,742,6,"Myrmotherula_sclateri","Myrmotherula_sclateri"
"407","Nannopsittaca_dachilleae",1088,1088,1,"Nannopsittaca_dachilleae","Nannopsittaca_dachilleae"
"408","Neoctantes_niger",397,432,5,"Neoctantes_niger","Neoctantes_niger"
"409","Neomorphus_geoffroyi",410,410,1,"Neomorphus_geoffroyi","Neomorphus_geoffroyi"
"410","Nonnula_ruficapilla",381,956,13,"Nonnula_ruficapilla","Nonnula_ruficapilla"
"411","Nothocercus_nigrocapillus",1395,2973,65,"Nothocercus_nigrocapillus","Nothocercus_nigrocapillus"
"412","Notiochelidon_flavipes",2557,2781,6,"Orochelidon_flavipes","Orochelidon_flavipes"
"413","Nyctidromus_albicollis",366,440,17,"Nyctidromus_albicollis","Nyctidromus_albicollis"
"414","Nyctiphrynus_ocellatus",365,574,16,"Nyctiphrynus_ocellatus","Nyctiphrynus_ocellatus"
"415","Nystalus_striolatus",381,1013,24,"Nystalus_striolatus","Nystalus_striolatus"
"416","Ochthoeca_frontalis",2650,3377,19,"Silvicultrix_spodionota","Ochthoeca_frontalis"
"417","Ochthoeca_fumicolor",3237,3237,1,"Ochthoeca_fumicolor","Ochthoeca_fumicolor"
"418","Ochthoeca_pulchella",2023,3101,389,"Silvicultrix_pulchella","Ochthoeca_pulchella"
"419","Ochthoeca_rufipectoralis",2347,3377,192,"Ochthoeca_rufipectoralis","Ochthoeca_rufipectoralis"
"420","Ochthoeca_thoracica",2176,3032,69,"Ochthoeca_thoracica","Ochthoeca_cinnamomeiventris"
"421","Ochthornis_littoralis",404,411,2,"Ochthornis_littoralis","Ochthornis_littoralis"
"422","Ocreatus_underwoodii",956,2184,235,"Ocreatus_underwoodii","Ocreatus_underwoodii"
"423","Odontophorus_balliviani",1442,2937,20,"Odontophorus_balliviani","Odontophorus_balliviani"
"424","Odontophorus_speciosus",1007,1950,61,"Odontophorus_speciosus","Odontophorus_speciosus"
"425","Odontophorus_stellatus",400,944,23,"Odontophorus_stellatus","Odontophorus_stellatus"
"426","Odontorchilus_branickii",969,1724,18,"Odontorchilus_branickii","Odontorchilus_branickii"
"427","Onychorhynchus_coronatus",381,471,25,"Onychorhynchus_coronatus","Onychorhynchus_coronatus"
"428","Ornithion_inerme",402,520,5,"Ornithion_inerme","Ornithion_inerme"
"429","Ortalis_guttata",402,1388,28,"Ortalis_guttata","Ortalis_guttata"
"430","Orthopsittaca_manilata",419,419,1,"Orthopsittaca_manilata","Orthopsittaca_manilatus"
"431","Oryzoborus_angolensis",644,1387,13,"Oryzoborus_angolensis","Sporophila_angolensis"
"432","Pachyramphus_marginatus",414,430,5,"Pachyramphus_marginatus","Pachyramphus_marginatus"
"433","Pachyramphus_minor",404,643,7,"Pachyramphus_minor","Pachyramphus_minor"
"434","Pachyramphus_polychopterus",407,1718,4,"Pachyramphus_polychopterus","Pachyramphus_polychopterus"
"435","Pachyramphus_versicolor",1320,3101,33,"Pachyramphus_versicolor","Pachyramphus_versicolor"
"436","Parula_pitiayumi",846,1651,152,"Setophaga_pitiayumi","Setophaga_pitiayumi"
"437","Patagioenas_cayennensis",400,410,12,"Patagioenas_cayennensis","Patagioenas_cayennensis"
"438","Patagioenas_fasciata",2109,3342,64,"Patagioenas_fasciata","Patagioenas_fasciata"
"439","Patagioenas_plumbea",400,2184,325,"Patagioenas_plumbea","Patagioenas_plumbea"
"440","Patagioenas_subvinacea",398,1236,54,"Patagioenas_subvinacea","Patagioenas_subvinacea"
"441","Penelope_jacquacu",379,1236,74,"Penelope_jacquacu","Penelope_jacquacu"
"442","Penelope_montagnii",1676,3049,103,"Penelope_montagnii","Penelope_montagnii"
"443","Percnostola_lophotes",381,1335,151,"Percnostola_lophotes","Myrmoborus_lophotes"
"444","Phaeothlypis_fulvicauda",383,1255,36,"Myiothlypis_fulvicauda","Myiothlypis_fulvicauda"
"445","Phaethornis_guy",956,1852,231,"Phaethornis_guy","Phaethornis_guy"
"446","Phaethornis_hispidus",340,1362,91,"Phaethornis_hispidus","Phaethornis_hispidus"
"447","Phaethornis_koepckeae",381,1129,54,"Phaethornis_koepckeae","Phaethornis_koepckeae"
"448","Phaethornis_malaris",381,421,4,"Phaethornis_malaris","Phaethornis_malaris"
"449","Phaethornis_ruber",400,1141,65,"Phaethornis_ruber","Phaethornis_ruber"
"450","Phaethornis_stuarti",376,1514,15,"Phaethornis_stuarti","Phaethornis_stuarti"
"451","Phaethornis_superciliosus",381,1387,122,"Phaethornis_superciliosus","Phaethornis_superciliosus"
"452","Pharomachrus_antisianus",1239,2781,32,"Pharomachrus_antisianus","Pharomachrus_antisianus"
