elevation_cat,sociality,foraging_cat,species_jetz,species_clean,mean_lice,sample_size
lowland_manu,1,undersory-midhigh,Xenops_minutus,Xenops minutus,0,1
lowland_manu,1,midhigh,Anabazenops_dorsalis,Anabazenops dorsalis,1,1
lowland_manu,1,midhigh,Epinecrophylla_erythrura,Epinecrophylla erythrura,1,1
lowland_manu,1,midhigh,Galbula_cyanescens,Galbula cyanescens,1,1
lowland_manu,0,understory,Hylophylax_naevius,Hylophylax naevius,1,1
montane_manu,1,undersory-midhigh,Malacoptila_fulvogularis,Malacoptila fulvogularis,1,1
lowland_manu,0,ground-midhigh,Momotus_momota,Momotus momota,1,1
high_montane_manu,1,canopy,Myioborus_melanocephalus,Myioborus melanocephalus,1,1
lowland_manu,1,ground,Myrmeciza_fortis,Hafferia fortis,1,1
lowland_manu,0,ground-understory,Myrmeciza_hemimelaena,Sciaphylax hemimelaena,1,1
lowland_manu,0,ground,Phlegopsis_nigromaculata,Phlegopsis nigromaculata,1,1
high_montane_manu,1,understory,Pyrrhomyias_cinnamomeus,Pyrrhomyias cinnamomeus,1,1
lowland_manu,0,canopy,Ramphastos_tucanus,Ramphastos tucanus,1,1
lowland_manu,0,undersory-midhigh,Rhytipterna_simplex,Rhytipterna simplex,1,2
lowland_manu,1,other,Saltator_maximus,Saltator maximus,1,1
lowland_manu,0,understory,Synallaxis_cabanisi,Synallaxis cabanisi,1,1
lowland_manu,1,midhigh,Terenotriccus_erythrurus,Terenotriccus erythrurus,1,2
lowland_manu,0,other,Thalurania_furcata,Thalurania furcata,1,1
montane_manu,1,other,Trichothraupis_melanops,Trichothraupis melanops,1,4
high_montane_manu,1,midhigh,Buthraupis_montana,Buthraupis montana,1.333333333,3
lowland_manu,0,ground,Corythopis_torquatus,Corythopis torquatus,1.333333333,3
lowland_manu,1,ground,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,1.333333333,3
high_montane_manu,1,midhigh,Anisognathus_igniventris,Anisognathus igniventris,1.5,2
lowland_manu,1,ground-understory,Myrmoborus_myotherinus,Myrmoborus myotherinus,1.5,2
high_montane_manu,1,undersory-midhigh,Pipreola_intermedia,Pipreola intermedia,1.5,2
montane_manu,1,understory,Premnoplex_brunnescens,Premnoplex brunnescens,1.666666667,3
lowland_manu,0,ground,Rhegmatorhina_melanosticta,Rhegmatorhina melanosticta,1.666666667,3
montane_manu,0,ground,Cyphorhinus_thoracicus,Cyphorhinus thoracicus,1.75,4
montane_manu,1,understory,Basileuterus_tristriatus,Basileuterus tristriatus,1.888888889,9
montane_manu,1,midhigh-canopy,Chlorochrysa_calliparaea,Chlorochrysa calliparaea,2,1
high_montane_manu,0,ground,Haplospiza_rustica,Haplospiza rustica,2,1
lowland_manu,0,ground-midhigh,Malacoptila_semicincta,Malacoptila semicincta,2,1
lowland_manu,0,canopy,Psarocolius_angustifrons,Psarocolius angustifrons,2,1
lowland_manu,1,ground-understory,Ancistrops_strigilatus,Ancistrops strigilatus,3,1
montane_manu,1,understory,Iridosornis_analis,Iridosornis analis,3,2
montane_manu,1,midhigh,Leptopogon_superciliaris,Leptopogon superciliaris,3,7
lowland_manu,0,ground,Willisornis_poecilinotus,Willisornis poecilinotus,3,1
montane_manu,1,understory,Hemispingus_melanotis,Sphenopsis melanotis,3.333333333,3
lowland_manu,1,ground-understory,Arremon_taciturnus,Arremon taciturnus,3.375,8
lowland_manu,0,ground,Geotrygon_montana,Geotrygon montana,3.5,4
lowland_manu,1,undersory-midhigh,Lepidothrix_coronata,Lepidothrix coronata,3.5,2
montane_manu,1,midhigh,Tangara_arthus,Tangara arthus,3.8,5
lowland_manu,0,ground,Gymnopithys_salvini,Oneillornis salvini,3.888888889,9
montane_manu,1,understory,Basileuterus_coronatus,Myiothlypis coronata,4,6
montane_manu,1,midhigh,Diglossa_glauca,Diglossa glauca,4,1
lowland_manu,0,ground,Formicarius_analis,Formicarius analis,4,1
lowland_manu,0,ground,Sclerurus_caudacutus,Sclerurus caudacutus,4,2
lowland_manu,1,other,Chlorothraupis_carmioli,Chlorothraupis carmioli,4.166666667,6
montane_manu,1,midhigh,Anabacerthia_striaticollis,Anabacerthia striaticollis,4.5,2
lowland_manu,1,understory,Mionectes_olivaceus,Mionectes olivaceus,4.611111111,18
lowland_manu,1,understory,Automolus_ochrolaemus,Automolus ochrolaemus,4.75,4
lowland_manu,1,understory,Automolus_infuscatus,Automolus infuscatus,5,1
high_montane_manu,1,midhigh,Chlorornis_riefferii,Chlorornis riefferii,5,8
lowland_manu,0,ground,Formicarius_rufipectus,Formicarius rufipectus,5,1
high_montane_manu,1,understory,Hemispingus_atropileus,Kleinothraupis atropileus,5,3
lowland_manu,1,ground-understory,Percnostola_lophotes,Myrmoborus lophotes,5,6
lowland_manu,1,midhigh,Tangara_schrankii,Tangara schrankii,5,2
lowland_manu,0,understory,Schiffornis_turdina,Schiffornis turdina,5.25,4
lowland_manu,0,undersory-midhigh,Laniocera_hypopyrra,Laniocera hypopyrra,5.5,2
lowland_manu,1,undersory-midhigh,Pipra_chloromeros,Ceratopipra chloromeros,5.555555556,54
lowland_manu,1,midhigh,Habia_rubica,Habia rubica,5.714285714,7
montane_manu,1,midhigh,Basileuterus_bivittatus,Myiothlypis bivittata,5.8,5
montane_manu,1,midhigh,Anisognathus_somptuosus,Anisognathus somptuosus,6,1
high_montane_manu,0,ground,Chamaeza_mollissima,Chamaeza mollissima,6,1
montane_manu,1,midhigh,Myioborus_miniatus,Myioborus miniatus,6,1
lowland_manu,1,ground-understory,Myrmeciza_goeldii,Akletos goeldii,6,24
lowland_manu,0,canopy,Philydor_rufum,Dendroma rufa,6,1
lowland_manu,1,undersory-midhigh,Leptopogon_amaurocephalus,Leptopogon amaurocephalus,6.25,8
montane_manu,1,other,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,6.333333333,3
high_montane_manu,1,understory,Iridosornis_jelskii,Iridosornis jelskii,6.333333333,6
montane_manu,1,midhigh,Phylloscartes_ophthalmicus,Phylloscartes ophthalmicus,6.333333333,3
high_montane_manu,0,undersory-midhigh,Pipreola_arcuata,Pipreola arcuata,6.333333333,6
lowland_manu,1,midhigh,Thamnophilus_schistaceus,Thamnophilus schistaceus,6.666666667,3
lowland_manu,1,canopy,Glyphorynchus_spirurus,Glyphorynchus spirurus,6.75,4
lowland_manu,1,undersory-midhigh,Mionectes_oleagineus,Mionectes oleagineus,6.75,4
high_montane_manu,1,undersory-midhigh,Arremon_torquatus,Arremon torquatus,6.777777778,9
lowland_manu,1,canopy,Lanio_versicolor,Lanio versicolor,7,4
lowland_manu,1,undersory-midhigh,Pipra_fasciicauda,Pipra fasciicauda,7.473684211,19
lowland_manu,0,ground,Turdus_albicollis,Turdus albicollis,8,3
lowland_manu,1,midhigh,Myrmotherula_axillaris,Myrmotherula axillaris,8.5,2
lowland_manu,1,ground,Conopophaga_peruviana,Conopophaga peruviana,9,1
montane_manu,1,understory,Thripadectes_melanorhynchus,Thripadectes melanorhynchus,9,11
montane_manu,1,understory,Chlorospingus_flavigularis,Chlorospingus flavigularis,10.21428571,14
lowland_manu,1,midhigh,Mionectes_macconnelli,Mionectes macconnelli,11.38461538,13
high_montane_manu,1,canopy,Thraupis_cyanocephala,Sporathraupis cyanocephala,13,4
montane_manu,0,ground-midhigh,Rupicola_peruvianus,Rupicola peruvianus,17.125,8