Collection,Full_Label,powder_level,Host genus,Host species
JUM,V01,,Willisornis,poecilinotus
JUM,V02,,Glyphorynchus,spirurus
JUM,V03,,Willisornis,poecilinotus
JUM,V05,,Glyphorynchus,spirurus
JUM,V06,,Hylophylax,naevius
JUM,V07,,Hylophylax,naevius
JUM,V10,,Glyphorynchus,spirurus
JUM,V11,,Megastictus,margaritatus
JUM,V12,,Xenops,margaritatus
JUM,V13,,Glyphorynchus,spirurus
JUM,V14,,Megastictus,margaritatus
JUM,V15,,Myrmelastes,leucostigma
JUM,V17,,Glyphorynchus,spirurus
JUM,V19,,Corythopis,torquatus
JUM,V20,,Myrmelastes,leucostigma
JUM,V22,,Myrmelastes,leucostigma
JUM,V23,,Myrmelastes,leucostigma
JUM,V26,,Schiffornis,turdina
JUM,V29,,Megastictus,margaritatus
JUM,V30,,Glyphorynchus,spirurus
JUM,V31,,Glyphorynchus,spirurus
JUM,V32,,Pithys,albifrons
JUM,V33,,Glyphorynchus,spirurus
JUM,V34,,Myrmelastes,leucostigma
JUM,V36,,Megastictus,margaritatus
JUM,V39,,Megastictus,margaritatus
JUM,V40,,Myrmotherula,axillaris
JUM,V41,,Megastictus,margaritatus
JUM,V44,,Myrmoborus,myotherinus
JUM,V49,,Corythopis,torquatus
JUM,V50,,Loriotus,cristatus
JUM,V64,,Ceratopipra,erythrocephala
JUM,V68,,Epinecrophylla,haematonota
JUM,V81,,Megastictus,margaritatus
JUM,V82,,Pithys,albifrons
JUM,V87,,Pithys,albifrons
JUM,V90,,Manacus,manacus
JUM,V91,,Mionectes,oleagineus
JUM,V93,,Willisornis,poecilinotus
JUM,V96,,Lepidothrix,coronata
JUM,V102,,Pheugopedius,coraya
JUM,V103,,Hylophylax,naevius
JUM,V104,,Megastictus,margaritatus
JUM,V108,,Glyphorynchus,spirurus
JUM,V109,,Mionectes,oleagineus
JUM,V110,,Megastictus,margaritatus
JUM,V112,,Gymnopithys,leucaspis
JUM,V113,,Gymnopithys,leucaspis
JUM,V114,,Xiphorhynchus,elegans
JUM,V115,,Epinecrophylla,haematonota
JUM,V116,,Glyphorynchus,spirurus
JUM,V118,,Mionectes,oleagineus
JUM,V120,,Threnetes,leucurus
JUM,V122,,Mionectes,oleagineus
JUM,V123,,Schiffornis,turdina
JUM,V124,,Schiffornis,turdina
JUM,V125?,,Isleria,hauxwelli
JUM,V126,,Isleria,hauxwelli
JUM,V127,,Myrmotherula,axillaris
JUM,V129,,Dendrocincla,fuliginosa
JUM,V130,,Ceratopipra,erythrocephala
JUM,V132,,Thamnophilus,murinus
JUM,V135,,Sclerurus,caudatus
JUM,V137,,Philydor,erythrocercum
JUM,V138,,Dendrocincla,merula
JUM,V139,,Synallaxis,rutilans
JUM,V140,,Tangara,chilensis
JUM,V145,,Glyphorynchus,spirurus
JUM,V148,,Willisornis,poecilinotus
JUM,V149,,Hypocnemis,hypoxantha
JUM,V155,,Hypocnemis,hypoxantha
JUM,V156,,Hypocnemis,hypoxantha
JUM,V157,,Xenops,minutus
JUM,V158,,Pithys,albifrons
JUM,V160,,Microcerculus,marginatus
JUM,V162,,Myrmotherula,axillaris
JUM,V163,,Willisornis,poecilinotus
JUM,V167,,Epinecrophylla,haematonota
JUM,V168,,Tachyphonus,surinamus
JUM,V173,,Glyphorynchus,spirurus
JUM,V175,,Megastictus,margaritatus
JUM,V179,,Willisornis,poecilinotus
JUM,V182,,Willisornis,poecilinotus
JUM,V183,,Dendrocincla,fuliginosa
JUM,V187,,Megastictus,margaritatus
JUM,V184,,Dendrocincla,fuliginosa
JUM,V192,,Xiphorhynchus,elegans
JUM,V196,,Attila,citriniventris
JUM,V200,,Glyphorynchus,spirurus
JUM,V204,,Dendrocincla,merula
JUM,V209,,Gymnopithys,leucaspis
JUM,V210,,Willisornis,poecilinotus
JUM,V215,,Dendrocincla,fuliginosa
JUM,V216,,Onychorhynchus,coronatus
JUM,V223,,Formicarius,colma
JUM,V220,,Glyphorynchus,spirurus
JUM,V225,,Glyphorynchus,spirurus
JUM,V227,,Heterocercus,aurantiivertex
JUM,V228,,Pithys,albifrons
JUM,V223,,Formicarius,colma
JUM,V224,,Pithys,albifrons
JUM,V235,,Glyphorynchus,spirurus
JUM,V240,,Glyphorynchus,spirurus
JUM,V243,,Xiphorhynchus,elegans
JUM,V245,,Heterocercus,aurantiivertex
JUM,V253,,Sclerurus,mexicanus
JUM,V254,,Formicarius,colma
JUM,V256,,Megastictus,margaritatus
JUM,V257,,Glyphorynchus,spirurus
JUM,V259,,Xenops,minutus
JUM,V260,,Willisornis,poecilinotus
JUM,V261,,Glyphorynchus,spirurus
JUM,V268,,Megastictus,margaritatus
JUM,V269,,Willisornis,poecilinotus
JUM,V270,,Heterocercus,aurantiivertex
JUM,V274,,Willisornis,poecilinotus
JUM,V282,,Ceratopipra,erythrocephala
JUM,V283,,Geotrygon,montana
JUM,V285,,Dendrocincla,fuliginosa
JUM,V289,,Gymnopithys,leucaspis
JUM,V293,,Hypocnemis,hypoxantha
JUM,V294,,Momotus,momota
JUM,V296,,Glyphorynchus,spirurus
JUM,V297,,Glyphorynchus,spirurus
JUM,V298,,Automolus,ochrolaemus
JUM,V299,,Xiphorhynchus,elegans
JUM,V300,,Gymnopithys,leucaspis
JUM,V301,,Glyphorynchus,spirurus
JUM,V304,,Celeus,elegans
JUM,V311,,Automolus,ochrolaemus
JUM,V314,,Formicarius,colma
JUM,V315,,Xiphorhynchus,elegans
JUM,V319,,Notarchus,ordii
JUM,V327,,Gymnopithys,leucaspis
JUM,V328,,Veniliornis,affinis
JUM,V383,,Glyphorynchus,spirurus
JUM,V384,,Celeus,elegans
JUM,V385,,Formicarius,colma
JUM,V386,,Willisornis,poecilinotus
JUM,V387,,Willisornis,poecilinotus
JUM,V393,,Megastictus,margaritatus
JUM,V395,,Megastictus,margaritatus
JUM,V396,,Megastictus,margaritatus
JUM,V398,,Megastictus,margaritatus
JUM,V399,,Willisornis,poecilinotus
JUM,V400,,Myrmoborus,myotherinus
JUM,V401,,Willisornis,poecilinotus
JUM,V403,,Cyanoloxia,cyanoides
JUM,V404,,Willisornis,poecilinotus
JUM,V405,,Megastictus,margaritatus
JUM,V406,,Megastictus,margaritatus
JUM,V408,,Myrmoborus,myotherinus
JUM,V409,,Megastictus,margaritatus
JUM,V410,,Glyphorynchus,spirurus
JUM,V411,,Lepidothrix,coronata
JUM,V412,,Lepidothrix,coronata
JUM,V413,,Glyphorynchus,spirurus
JUM,V414,,Phlegopsis,erythroptera
JUM,V415,,Phlegopsis,erythroptera
JUM,V416,,Phlegopsis,erythroptera
JUM,V419,,Megastictus,margaritatus
JUM,V422,,Hypocnemis,hypoxantha
JUM,V433,,Lepidothrix,coronata
JUM,V437,,Xenops,minutus
JUM,V443,,Pithys,albifrons
JUM,V446,,Automolus,subulatus
JUM,V448,,Pithys,albifrons
JUM,V449,,Pithys,albifrons
JUM,V451,,Ramphotrigon,ruficauda
JUM,V452,,Lepidothrix,coronata
JUM,V453,,Lepidothrix,coronata
JUM,V458,,Dendrocincla,fuliginosa
JUM,V459,,Lepidothrix,coronata
JUM,V460,,Momotus,momota
JUM,V464,,Synallaxis,rutilans
JUM,V465,,Synallaxis,rutilans
JUM,V466,,Terenotriccus,erythrurus
JUM,V467,,Glyphorynchus,spirurus
JUM,V468,,Pithys,albifrons
JUM,V476,,Euphonia,xanthogaster
JUM,V477,,Sclerurus,mexicanus
JUM,V478,,Malacoptila,fusca
JUM,V482,,Glyphorynchus,spirurus
JUM,V483,,Euphonia,xanthogaster
JUM,V486,,Euphonia,xanthogaster
JUM,M487,,Willisornis,poecilinotus
JUM,M489,,Thamnophilus,murinus
JUM,M491,,Pithys,albifrons
JUM,M492,,Pithys,albifrons
JUM,M493,,Glyphorynchus,spirurus
JUM,M494,,Pseudopipra,pipra
JUM,M495,,Willisornis,poecilinotus
JUM,M496,,Thamnophilus,murinus
JUM,M497,,Glyphorynchus,spirurus
JUM,M498,,Xenops,minutus
JUM,M499,,Glyphorynchus,spirurus
JUM,M500,,Turdus,albicollis
JUM,M501,,Turdus,albicollis
JUM,M502,,Xiphorhynchus,elegans
JUM,M504,,Xiphorhynchus,elegans
JUM,M505,,Ceratopipra,erythrocephala
JUM,M506,,Glyphorynchus,spirurus
JUM,M507,,Willisornis,poecilinotus
JUM,M512,,Glyphorynchus,spirurus
JUM,M513,,Glyphorynchus,spirurus
JUM,M515,,Glyphorynchus,spirurus
JUM,M516,,Glyphorynchus,spirurus
JUM,M517,,Glyphorynchus,spirurus
JUM,M519,,Glyphorynchus,spirurus
JUM,M520,,Ceratopipra,erythrocephala
JUM,M527,,Ceratopipra,erythrocephala
JUM,M533,,Xiphorhynchus,elegans
JUM,M535,,Myrmoborus,myotherinus
JUM,M536,,Geotrygon,montana
JUM,M537,,Gymnopithys,leucaspis
JUM,M539,,Gymnopithys,leucaspis
JUM,M540,,Microcerculus,marginatus
JUM,M541,,Malacoptila,fusca
JUM,M542,,Malacoptila,fusca
JUM,M543,,Microcerculus,marginatus
JUM,M547,,Thamnophilus,murinus
JUM,M549,,Glyphorynchus,spirurus
JUM,M551,,Frederickena,unduligera
JUM,M552,,Sclerurus,rufigularis
JUM,M556,,Geotrygon,montana
JUM,M560,,Terenotriccus,erythrurus
JUM,M561,,Xenops,minutus
JUM,M564,,Gymnopithys,leucaspis
JUM,M565,,Myrmoborus,myotherinus
JUM,M568,,Phlegopsis,erythroptera
JUM,M569,,Dendrocincla,merula
JUM,M571,,Myrmoborus,myotherinus
JUM,M574,,Geotrygon,montana
JUM,M575,,Xiphorhynchus,elegans
JUM,M578,,Megastictus,margaritatus
JUM,M579,,Conopophaga,peruviana
JUM,M580,,Gymnopithys,leucaspis
JUM,M581,,Turdus,albicollis
JUM,M582,,Willisornis,poecilinotus
JUM,M583,,Dendrocincla,merula
JUM,M584,,Dendrocincla,merula
JUM,M588,,Willisornis,poecilinotus
JUM,M589,,Gymnopithys,leucaspis
JUM,M590,,Pithys,albifrons
JUM,M591,,Schiffornis,turdina
JUM,M593,,Pithys,albifrons
JUM,M594,,Dendrocincla,merula
JUM,M598,,Dendrocincla,fuliginosa
JUM,M599,,Gymnopithys,leucaspis
JUM,M600,,Willisornis,poecilinotus
JUM,M601,,Schiffornis,turdina
JUM,M603,,Pseudopipra,pipra
JUM,M604,,Gymnopithys,leucaspis
JUM,M605,,Pithys,albifrons
JUM,M606,,Pithys,albifrons
JUM,M607,,Gymnopithys,leucaspis
JUM,M608,,Percnostola,fortis
JUM,M612,,Percnostola,fortis
JUM,M613,,Dendrocincla,merula
JUM,M614,,Percnostola,fortis
JUM,M618,,Geotrygon,montana
JUM,M619,,Dendrocincla,merula
JUM,M620,,Pithys,albifrons
JUM,M625,,Mionectes,oleagineus
JUM,M626,,Myrmoborus,myotherinus
JUM,M628,,Pseudopipra,pipra
JUM,M610,,Gymnopithys,leucaspis
JUM,M634,,Thamnomanes,caesius
JUM,M635,,Oneillornis,lunulatus
JUM,M646,,Mionectes,oleagineus
JUM,M650,,Ceratopipra,erythrocephala
JUM,M651,,Glyphorynchus,spirurus
JUM,M654,,Gymnopithys,leucaspis
JUM,V657,,Glyphorynchus,spirurus
JUM,V658,,Glyphorynchus,spirurus
JUM,V660,,Gymnopithys,leucaspis
JUM,V661,,Gymnopithys,leucaspis
JUM,V662,,Willisornis,poecilinotus
JUM,V663,,Willisornis,poecilinotus
JUM,V664,,Pithys,albifrons
JUM,V665,,Corythopis,torquatus
JUM,V667,,Pithys,albifrons
JUM,V668,,Pithys,albifrons
JUM,V669,,Pithys,albifrons
JUM,V671,,Pithys,albifrons
JUM,V672,,Pithys,albifrons
JUM,V673,,Pithys,albifrons
JUM,V675,,Glyphorynchus,spirurus
JUM,V677,,Glyphorynchus,spirurus
JUM,V678,,Microcerculus,marginatus
JUM,V679,,Automolus,ochrolaemus
JUM,V680,,Xiphorhynchus,elegans
JUM,V682,,Celeus,grammicus
JUM,V685,,Gymnopithys,leucaspis
JUM,V687,,Dendrocolaptes,certhia
JUM,V688,,Geotrygon,montana
JUM,V690,,Pithys,albifrons
JUM,V691,,Glyphorynchus,spirurus
JUM,V692,,Onychorhynchus,coronatus
JUM,V694,,Xiphorhynchus,elegans
JUM,V695,,Ancistrops,strigilatus
JUM,V699,,Glyphorynchus,spirurus
JUM,V700,,Xenops,minutus
JUM,V701,,Megastictus,margaritatus
JUM,V702,,Lepidothrix,coronata
JUM,V703,,Sclerurus,mexicanus
JUM,V711,,Platyrinchus,saturatus
JUM,V712,,Gymnopithys,leucaspis
JUM,V717,,Sclerurus,mexicanus
JUM,V720,,Glyphorynchus,spirurus
JUM,V721,,Ceratopipra,erythrocephala
JUM,V723,,Glyphorynchus,spirurus
JUM,V724,,Terenotriccus,erythrurus
JUM,V725,,Pithys,albifrons
JUM,857,,Formicarius,colma
JUM,V1297,,Formicarius,colma
JUM,M1743,,Formicarius,colma
JUM,3678,,Formicarius,colma
JUM,3785,,Formicarius,colma
JUM,4438,,Formicarius,colma
JUM,4514,,Formicarius,colma
JUM,946,,Terenotriccus,erythrurus
JUM,968,,Terenotriccus,erythrurus
JUM,980,,Terenotriccus,erythrurus
JUM,1064,,Automolus,subulatus
JUM,2133,,Terenotriccus,erythrurus
JUM,1073,,Terenotriccus,erythrurus
JUM,3808,,Mionectes,oleagineus
JUM,2028,,Terenotriccus,erythrurus
JUM,2103,,Mionectes,oleagineus
JUM,3576,,Terenotriccus,erythrurus
JUM,3609,,Terenotriccus,erythrurus
JUM,4003,,Terenotriccus,erythrurus
JUM,4182,,Terenotriccus,erythrurus
JUM,3810,,Terenotriccus,erythrurus
JUM,4281,,Terenotriccus,erythrurus
JUM,3836,,Dendrocincla,fuliginosa
JUM,1009,,Willisornis,poecilinotus
JUM,1022,,Willisornis,poecilinotus
JUM,3837,,Dendrocincla,fuliginosa
JUM,V728,,Glyphorynchus,spirurus
JUM,V783,,Glyphorynchus,spirurus
JUM,V729,,Deconychura,longicauda
JUM,V730,,Glyphorynchus,spirurus
JUM,V733,,Lepidothrix,coronata
JUM,V735,,Glyphorynchus,spirurus
JUM,V737,,Gymnopithys,leucaspis
JUM,V738,,Megastictus,margaritatus
JUM,V739,,Megastictus,margaritatus
JUM,V744,,Megastictus,margaritatus
JUM,V743,,Glyphorynchus,spirurus
JUM,V756,,Terenotriccus,erythrurus
JUM,V742,,Glyphorynchus,spirurus
JUM,V746,,Megastictus,margaritatus
JUM,V747,,Glyphorynchus,spirurus
JUM,V748,,Glyphorynchus,spirurus
JUM,V740,,Megastictus,margaritatus
JUM,V757,,Ceratopipra,erythrocephala
JUM,V787,,Cyanoloxia,cyanoides
JUM,V750,,Glyphorynchus,spirurus
JUM,V759,,Glyphorynchus,spirurus
JUM,4021,,Dendrocincla,fuliginosa
JUM,4037,,Dendrocincla,fuliginosa
JUM,V762,,Myrmoborus,myotherinus
JUM,V763,,Percnostola,fortis
JUM,V764,,Myrmelastes,leucostigma
JUM,V765,,Nonnula,brunnea
JUM,V766,,Synallaxis,rutilans
JUM,V767,,Sclerurus,mexicanus
JUM,1023,,Willisornis,poecilinotus
JUM,4103,,Dendrocincla,fuliginosa
JUM,1025,,Willisornis,poecilinotus
JUM,V768,,Myrmoborus,myotherinus
JUM,V771,,Myrmelastes,leucostigma
JUM,V778,,Lepidothrix,coronata
JUM,1028,,Willisornis,poecilinotus
JUM,V785,,Lepidothrix,coronata
JUM,V769,,Glyphorynchus,spirurus
JUM,V770,,Myrmoborus,myotherinus
JUM,V772,,Percnostola,fortis
JUM,V773,,Glyphorynchus,spirurus
JUM,V774,,Myrmoborus,myotherinus
JUM,779,,Lepidothrix,coronata
JUM,781,,Manacus,manacus
JUM,782,,Geotrygon,montana
JUM,784,,Lepidothrix,coronata
JUM,789,,Euphonia,xanthogaster
JUM,791,,Microcerculus,marginatus
JUM,795,,Synallaxis,rutilans
JUM,798,,Momotus,momota
JUM,799,,Willisornis,poecilinotus
JUM,803,,Pheugopedius,coraya
JUM,804,,Manacus,manacus
JUM,805,,Malacoptila,fusca
JUM,806,,Geotrygon,montana
JUM,808,,Manacus,manacus
JUM,809,,Manacus,manacus
JUM,812,,Pithys,albifrons
JUM,813,,Willisornis,poecilinotus
JUM,814,,Pithys,albifrons
JUM,815,,Glyphorynchus,spirurus
JUM,816,,Gymnopithys,leucaspis
JUM,818,,Glyphorynchus,spirurus
JUM,820,,Xiphorhynchus,elegans
JUM,821,,Gymnopithys,leucaspis
JUM,822,,Hylophilus,ochraceiceps
JUM,823,,Gymnopithys,leucaspis
JUM,831,,Manacus,manacus
JUM,824,,Lepidothrix,coronata
JUM,826,,Myrmoborus,myotherinus
JUM,828,,Nonnula,brunnea
JUM,835,,Myrmelastes,leucostigma
JUM,837,,Microcerculus,marginatus
JUM,853,,Nonnula,brunnea
JUM,845,,Capito,auratus
JUM,866,,Manacus,manacus
JUM,847,,Gymnopithys,leucaspis
JUM,848,,Gymnopithys,leucaspis
JUM,839,,Cnipodectes,subbrunneus
JUM,850,,Gymnopithys,leucaspis
JUM,851,,Percnostola,fortis
JUM,860,,Megastictus,margaritatus
JUM,867,,Manacus,manacus
JUM,869,,Gymnopithys,spirurus
JUM,870,,Lepidothrix,coronata
JUM,862,,Lepidothrix,coronata
JUM,875,,Lepidothrix,coronata
JUM,876,,Lepidothrix,coronata
JUM,877,,Glyphorynchus,spirurus
JUM,881,,Glyphorynchus,spirurus
JUM,882,,Glyphorynchus,spirurus
JUM,884,,Lepidothrix,coronata
JUM,885,,Glyphorynchus,spirurus
JUM,886,,Lepidothrix,coronata
JUM,887,,Glyphorynchus,spirurus
JUM,888,,Manacus,manacus
JUM,889,,Manacus,manacus
JUM,893,,Onychorhynchus,coronatus
JUM,892,,Glyphorynchus,spirurus
JUM,890,,Manacus,manacus
JUM,897,,Manacus,manacus
JUM,891,,Lepidothrix,coronata
JUM,898,,Manacus,manacus
JUM,899,,Lepidothrix,coronata
JUM,1002,,Cercomacroides,serva
JUM,1003,,Gymnopithys,leucaspis
JUM,1005,,Myrmoborus,myotherinus
JUM,1006,,Glyphorynchus,spirurus
JUM,1007,,Percnostola,fortis
JUM,1008,,Myrmoborus,myotherinus
JUM,1010,,Lepidothrix,coronata
JUM,1018,,Glyphorynchus,spirurus
JUM,1019,,Glyphorynchus,spirurus
JUM,1017,,Lepidothrix,coronata
JUM,1011,,Chloroceryle,aenea
JUM,1012,,Ceratopipra,erythrocephala
JUM,1013,,Glyphorynchus,spirurus
JUM,1014,,Myrmoborus,myotherinus
JEJ,P120622,,Formicarius,analis
JEJ,P116125,low,Formicarius,analis
JEJ,P120778,very low,Formicarius,analis
JEJ,P120896,low,Formicarius,analis
JEJ,P121420,very low,Formicarius,analis
JEJ,P121421,low,Formicarius,analis
JEJ,P120085,very low,Formicarius,rufipectus
JEJ,W120733,med,Chamaeza,mollissima
JEJ,VC120112,low,Formicarius,analis
JUM,1015,med,Chloroceryle,aenea
JUM,1024,low,Thamnomanes,ardesiacus
JUM,1021,low,Gymnopithys,leucaspis
JEJ,P110029,low,Isleria,hauxwelli
JEJ,P110033,low,Thamnomanes,ardesiacus
JEJ,P110039,low,Thamnomanes,ardesiacus
JEJ,P110040,low,Myrmotherula,axillaris
JEJ,P110073,med,Thamnomanes,ardesiacus
JEJ,P110076,low,Thamnomanes,ardesiacus
JEJ,P110082,low,Myrmotherula,axillaris
JEJ,P110085,very low,Isleria,hauxwelli
JEJ,P110086,very low,Isleria,hauxwelli
JEJ,P110125,very low,Hylophilus,ochraceiceps
JEJ,P110128,low,Thamnomanes,schistogynus
JEJ,P110140,low,Corythopis,torquatus
JEJ,P110149,low,Myrmotherula,axillaris
JEJ,P110154,low,Corythopis,torquatus
JEJ,P110159,low,Willisornis,poecilinotus
JEJ,P110171,low,Sclerurus,caudacutus
JEJ,P110172,low,Isleria,hauxwelli
JEJ,P110233,very low,Microcerculus,marginatus
JEJ,P110215,low,Isleria,hauxwelli
JEJ,P110216,med,Corythopis,torquatus
JEJ,P110238,low,Willisornis,poecilinotus
JEJ,P110290,low,Willisornis,poecilinotus
JUM,1020,med,Glyphorynchus,spirurus
JUM,1032,med,Phlegopsis,erythroptera
JUM,1021,low,Gymnopithys,leucaspis
JEJ,P110297,low,Thamnomanes,ardesiacus
JEJ,P110337,low,Myrmotherula,axillaris
JUM,1036,med,Automolus,subulatus
JEJ,P110342,low,Sclerurus,caudacutus
JUM,1038,low,Glyphorynchus,spirurus
JUM,1037,med,Myrmoborus,myotherinus
JUM,1035,high,Gymnopithys,leucaspis
JEJ,P110380,low,Isleria,hauxwelli
JEJ,P110387,low,Myrmotherula,axillaris
JUM,1029,med,Phlegopsis,erythroptera
JUM,1045,low,Thamnophilus,schistaceus
JEJ,P110390,low,Microcerculus,marginatus
JUM,1047,low,Thamnophilus,murinus
JUM,1048,low,Automolus,subulatus
JEJ,P110391,low,Myrmotherula,axillaris
JUM,1049,med,Dendrocincla,merula
JUM,1066,med,Glyphorynchus,spirurus
JUM,1053,med,Glyphorynchus,spirurus
JUM,V1082,med,Willisornis,poecilinotus
JEJ,P115901,low,Sclerurus,caudacutus
JUM,1051,low,Pithys,albifrons
JUM,1052,low,Microcerculus,marginatus
JUM,1067,low,Myrmoborus,myotherinus
JUM,V1097,med,Synallaxis,rutilans
JUM,V1099,med,Glyphorynchus,spirurus
JUM,1062,low,Glyphorynchus,spirurus
JUM,1093,very low,Glyphorynchus,spirurus
JUM,1084,very low,Myrmotherula,axillaris
JUM,1056,med,Cnipodectes,subbrunneus
JUM,1071,low,Sporophila,angolensis
JUM,1059,med,Cercomacroides,serva
JUM,V1100?,low,Glyphorynchus,spirurus
JUM,V1077,low,Xiphorhynchus,elegans
JUM,V1080,low,Glyphorynchus,spirurus
