No.,Collection,Sample_Group,Sample.No...,Sample.Full..,Box.Location,species_binomial,Host.Order,Host.Family,Tick.Genus,Tick.Species,Female,Male,Nimph,Larvae,Eggs,Total,Tick.Family,Comments,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,total_lice
1,JUM,V,V34,V34,NA,Myrmelastes_leucostigma,Passeriformes,Thamnophilidae,???Mite,NA,0,0,0,10,NA,10,Ixodidae?,,Myrmelastes leucostigma,25.7,21.9,66.1,56.4,9.5,26.2,0,60,40,0,0,Schistocichla leucostigma,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,34,10
2,JUM,V,V90,V90,NA,Manacus_manacus,Passeriformes,Pipridae,Ixodes?,NA,?,0,? (prob),1,NA,1,Ixodidae,,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,90,1
3,JUM,V,V192,V192,NA,Xiphorhynchus_elegans,Passeriformes,Furnariidae,Ixodidae?,NA,,NA,,,NA,1,Ixodidae?,,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,192,1
5,JUM,V,V285,V285,NA,Dendrocincla_fuliginosa,Passeriformes,"Furnariidae
",Unknown?,NA,,NA,,,NA,1,,,Dendrocincla fuliginosa,31.68493671,19.41738462,95.81428571,86.7,18.3,24.7,1,33,33,33,0,Dendrocincla fuliginosa,6893,Dendrocincla_fuliginosa,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain-brown Woodcreeper,bow06893,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-midhigh,lowland_iquitos,285,1
7,JUM,V,V387,V387,NA,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,Unknown?,NA,,NA,,,NA,1,,,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,387,1
8,JUM,V,V399,V399,NA,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,Unknown?,NA,,NA,,,NA,5,,,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,399,5
10,JUM,M,M504,M504,NA,Xiphorhynchus_elegans,Passeriformes,Furnariidae,Unknown?,NA,,NA,,,NA,1,,,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,504,1
11,JUM,M,M549,M549,NA,Glyphorynchus_spirurus,Passeriformes,Furnariidae,Unknown?,NA,,NA,,,NA,1,,,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,549,1
12,JUM,M,M582,M582,NA,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,Unknown?,NA,0,1,0,0,NA,1,,,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,582,1
13,JUM,M,M588,M588,NA,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,Unknown?,NA,0,1,0,0,NA,1,,,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,588,1
14,JUM,V,V678,V678,NA,Microcerculus_marginatus,Passeriformes,Troglodytidae,Unknown?,NA,,NA,,,NA,2,,,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,678,2
17,JUM,,4003,4003,NA,Terenotriccus_erythrurus,Passeriformes,"Tityridae
",Unknown?,NA,0,0,0,1?,NA,1,,,Terenotriccus erythrurus,7.369767442,5.111627907,47.74468085,38.1,16.2,14.8,1,0,30,70,0,Terenotriccus erythrurus,5999,Terenotriccus_erythrurus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ruddy-tailed Flycatcher,bow05999,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,other_iquitos,NA,1
18,JUM,,791,791,NA,Microcerculus_marginatus,Passeriformes,Troglodytidae,Unknown?,NA,0,0,0,1,NA,1,,,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,other_iquitos,NA,1
19,JEJ,W12,733,W120733,NA,Chamaeza_mollissima,Passeriformes,Formicariidae,R?,NA,1,0,0,0,NA,1,,,Chamaeza mollissima,72.6175,10.75,88.75,66.2,12.9,37.1,0,100,0,0,0,Chamaeza mollissima,6965,Chamaeza_mollissima,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Barred Antthrush,bow06965,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,high_montane_manu,120733,1
20,JEJ,P11,149,P110149,NA,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,Unknown?,NA,1,0,0,0,NA,1,,,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_manu,110149,1
21,JUM,,1093,1093,NA,Glyphorynchus_spirurus,Passeriformes,Furnariidae,Unknown?,NA,,NA,,1,NA,1,,,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,other_iquitos,NA,1
22,JUM,,1084,1084,NA,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,Unknown?,NA,0,0,0,1,NA,1,,,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,other_iquitos,NA,1
23,JEJ,W13,270,W130270,NA,Anisognathus_igniventris,Passeriformes,"Thraupidae
",Unknown?,NA,0,0,1,0,NA,1,,,Anisognathus igniventris,34.8345,8.160857143,86.69387755,75.3,16.8,25.1,1,0,20,50,30,Anisognathus igniventris,12958,Anisognathus_igniventris,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Scarlet-bellied Mountain-tanager,bow12958,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,high_montane_manu,130270,1
24,JEJ,P11,111,P110111,NA,Automolus_ochrolaemus,Passeriformes,Furnariidae,Unknown?,NA,0,0,1,0,NA,1,,,Automolus ochrolaemus,34.96803922,14.4712766,88.51851852,75.3,17.5,23.5,1,10,70,20,0,Automolus ochrolaemus,6861,Automolus_ochrolaemus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-throated Foliage-gleaner,bow06861,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_manu,110111,1
25,JEJ,P11,142,P110142,NA,Automolus_ochrolaemus,Passeriformes,Furnariidae,Unknown?,NA,1,0,0,0,NA,1,,,Automolus ochrolaemus,34.96803922,14.4712766,88.51851852,75.3,17.5,23.5,1,10,70,20,0,Automolus ochrolaemus,6861,Automolus_ochrolaemus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-throated Foliage-gleaner,bow06861,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_manu,110142,1
26,JEJ,P11,6048,P116048,NA,Deconychura_longicauda,Passeriformes,"Furnariidae
",Unknown?,NA,1,0,0,0,NA,1,,,Deconychura longicauda,30.6912,19.3005,99.95454545,99.9,20.6,22.9,1,0,0,80,20,Deconychura longicauda,6898,Deconychura_longicauda,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Long-tailed Woodcreeper,bow06898,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_manu,116048,1
27,JEJ,P12,1399,P121399,NA,Xiphorhynchus_elegans,Passeriformes,Furnariidae,Unknown?,NA,,NA,,1?,NA,1,,,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_manu,121399,1
28,JEJ,W13,814,W130814,NA,Haplospiza_rustica,Passeriformes,Thraupidae,Unknown?,NA,1,0,0,0,NA,1,,,Haplospiza rustica,16.3045,9.088125,66.06666667,47.9,20.7,19.4,0,80,20,0,0,Haplospiza rustica,13100,Haplospiza_rustica,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Slaty Finch,bow13100,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground,high_montane_manu,130814,1
