#,Collection,Sample_Group,Sample No. #,Sample Full #,Host genus,Host species,Host Order,Host Family,Box Location,Mite Group,Mite Genus,Mite Species,Total,Mite Group2,Mite Genus2,Mite Species2,Total2,Comment,total_mites,,,,
190,JUM,V,V768,V768,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,358,Trombiculid,,,1,,359,,,,
191,JUM,V,V771,V771,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,,Feather,,,7,,,,,,7,,,,
192,JUM,V,V769,V769,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,12,,,,,,12,,,,
193,JUM,V,V770,V770,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,25,,,,,,25,,,,
194,JUM,V,V772,V772,Percnostola,fortis,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
195,JUM,V,V773,V773,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,4,,,,,,4,,,,
196,JUM,V,V774,V774,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
197,JUM,,781,781,Manacus,manacus,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
198,JUM,,784,784,Lepidothrix,coronata,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
199,JUM,,789,789,Euphonia,xanthogaster,Passeriformes,Fringillidae,,Feather,,,1,,,,,,1,,,,
200,JUM,,791,791,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,1,Mesostigmatid,,,1,,2,,,,
201,JUM,,798,798,Momotus,momota,Coraciiformes,Momotidae,,Feather,,,1,Trombiculid,,,3,,4,,,,
202,JUM,,799,799,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,3,,,,,,3,,,,
203,JUM,,804,804,Manacus,manacus,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
204,JUM,,809,809,Manacus,manacus,Passeriformes,Pipridae,,Feather,,,6,,,,,,6,,,,
205,JUM,,813,813,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
206,JUM,,815,815,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
207,JUM,,816,816,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
208,JUM,,818,818,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
209,JUM,,820,820,Xiphorhynchus,elegans,Passeriformes,Furnariidae,,Feather,,,1,Mesostigmatid,,,2,,3,,,,
210,JUM,,821,821,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,2,Larva?,,,1,,3,,,,
211,JUM,,831,831,Manacus,manacus,Passeriformes,Pipridae,,Mesostigmatid,,,1,,,,,,1,,,,
212,JUM,,826,826,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
213,JUM,,828,828,Nonnula,brunnea,Piciformes,"Bucconidae
",,Feather,,,2,,,,,,2,,,,
214,JUM,,835,835,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,,Feather,,,1,Trombiculid,,,1,,2,,,,
215,JUM,,845,845,Capito,auratus,Piciformes,"Capitonidae
",,Feather,,,2,,,,,,2,,,,
216,JUM,,866,866,Manacus,manacus,Passeriformes,Pipridae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
217,JUM,,851,851,Percnostola,fortis,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
218,JUM,,867,867,Manacus,manacus,Passeriformes,Pipridae,,Unknown,,,1,,,,,,1,,,,
219,JUM,,869,869,Gymnopithys,spirurus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,2,Feather,,,1,,3,,,,
220,JUM,,875,875,Lepidothrix,coronata,Passeriformes,Pipridae,,Unknown,,,1,,,,,,1,,,,
221,JUM,,877,877,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Unknown,,,2,,,,,,2,,,,
222,JUM,,888,888,Manacus,manacus,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
223,JUM,,892,892,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,4,Mesostigmatid,,,6,,10,,,,
224,JUM,,1003,1003,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
225,JUM,,1005,1005,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,6,,,,,,6,,,,
226,JUM,,1006,1006,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,1,,,,,,1,,,,
227,JUM,,1007,1007,Percnostola,fortis,Passeriformes,Thamnophilidae,,Mesostigmatid,,,1,,,,,,1,,,,
228,JUM,,1010,1010,Lepidothrix,coronata,Passeriformes,Pipridae,,Trombiculid,,,1,,,,,,1,,,,
229,JUM,,1017,1017,Lepidothrix,coronata,Passeriformes,Pipridae,,Unknown?,,,1,,,,,,1,,,,
230,JUM,,1011,1011,Chloroceryle,aenea,Coraciiformes,Alcedinidae,,Feather,,,1,,,,,,1,,,,
231,JUM,,1014,1014,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,3,,,,,,3,,,,
232,JEJ,,P116125,P116125,Formicarius,analis,Passeriformes,Formicariidae,,Trombiculid,,,16,Feather,,,2,,18,,,,
233,JEJ,,P120896,P120896,Formicarius,analis,Passeriformes,Formicariidae,,Feather,,,3,,,,,,3,,,,
234,JEJ,,P121420,P121420,Formicarius,analis,Passeriformes,Formicariidae,,Trombiculid,,,6,Feather,,,1,,7,,,,
235,JEJ,,P121421,P121421,Formicarius,analis,Passeriformes,Formicariidae,,Trombiculid,,,1,Feather,,,1,,2,,,,
236,JEJ,,W120733,W120733,Chamaeza,mollissima,Passeriformes,Formicariidae,,Feather,,,3,,,,,,3,,,,
237,JUM,,1015,1015,Chloroceryle,aenea,Coraciiformes,Alcedinidae,,Mesostigmatid,,,2,,,,,,2,,,,
238,JEJ,,P110073,P110073,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
239,JEJ,,P110086,P110086,Isleria,hauxwelli,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
240,JEJ,,P110128,P110128,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,,Feather,,,33,,,,,,33,,,,
241,JEJ,,P110140,P110140,Corythopis,torquatus,Passeriformes,Tyrannidae,,Mesostigmatid,,,3,,,,,,3,,,,
242,JEJ,,P110159,P110159,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
243,JEJ,,P110171,P110171,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",,Mesostigmatid,,,1,Feather,,,2,,3,,,,
244,JEJ,,P110172,P110172,Isleria,hauxwelli,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
245,JEJ,,P110216,P110216,Corythopis,torquatus,Passeriformes,Tyrannidae,,Feather,,,2,,,,,,2,,,,
246,JEJ,,P110238,P110238,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
247,JEJ,,P110290,P110290,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
248,JUM,,1020,1020,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
249,JUM,,1032,1032,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
250,JEJ,,P110297,P110297,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,,Feather,,,13,,,,,,13,,,,
251,JUM,,1036,1036,Automolus,subulatus,Passeriformes,Furnariidae,,Feather,,,10,Trombiculid,,,1,,11,,,,
252,JEJ,,P110342,P110342,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",,Feather,,,6,,,,,,6,,,,
253,JUM,,1038,1038,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,8,,,,,,8,,,,
254,JUM,,1037,1037,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
255,JEJ,,P110380,P110380,Isleria,hauxwelli,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
256,JUM,,1029,1029,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
257,JEJ,,P110390,P110390,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,12,,,,,,12,,,,
258,JUM,,1066,1066,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,7,,,,,,7,,,,
259,JUM,,1053,1053,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
260,JEJ,,P115901,P115901,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",,Feather,,,548,,,,,,548,,,,
261,JUM,,1051,1051,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
262,JUM,,1052,1052,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,1,,,,,,1,,,,
263,JUM,,1067,1067,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
264,JUM,V,1099,V1099,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,3,,,,,,3,,,,
265,JUM,,1056,1056,Cnipodectes,subbrunneus,Passeriformes,"Tyrannidae
",,Feather,,,3,,,,,,3,,,,
266,JUM,V,1100?,V1100?,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
267,JUM,V,1080,V1080,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,2,,,,,,2,,,,
268,JUM,,1060,1060,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",two tubes?,Feather,,,1029,,,,,,1029,,,,
269,JEJ,,P115908,P115908,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Feather,,,5,,,,,,5,,,,
270,JEJ,,P115909,P115909,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Mesostigmatid,,,1,,,,,,1,,,,
271,JEJ,,P115953,P115953,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Feather,,,24,,,,,,24,,,,
272,JEJ,,P115954,P115954,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Feather,,,5,,,,,,5,,,,
273,JEJ,,P115962,P115962,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,10,,,,,,10,,,,
274,JEJ,,P115976,P115976,Lanio,versicolor,Passeriformes,"Thraupidae
",,Feather,,,24,Mesostigmatid,,,16,,40,,,,
275,JEJ,,P115979,P115979,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,,Feather,,,13,Mesostigmatid,,,1,,14,,,,
276,JUM,V,1102,V1102,Selenidera,reinwardtii,Piciformes,"Ramphastidae
",,Feather,,,1,,,,,,1,,,,
277,JUM,V,1256,V1256,Mionectes,oleagineus,Passeriformes,Tyrannidae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
278,JUM,V,1138,V1138,Geotrygon,montana,Columbiformes,"Columbidae
",,Feather,,,1,,,,,,1,,,,
279,JUM,V,1136,V1136,Pseudopipra,pipra,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
280,JUM,V,1186,V1186,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,5,,,,,,5,,,,
281,JUM,V,1132,V1132,Phaetornis,superciliosus,Apodiformes,Trochilidae,,Mesostigmatid,,,1,,,,,,1,,,,
282,JEJ,,P116000,P116000,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,,Feather,,,37,,,,,,37,,,,
283,JEJ,,P116087,P116087,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,6,,,,,,6,,,,
284,JUM,V,1198,V1198,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",,Feather,,,12,,,,,,12,,,,
285,JUM,V,1173,V1173,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
286,JUM,V,1200,V1200,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,5,,,,,,5,,,,
287,JUM,V,1206,V1206,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
288,JUM,,2108,2108,Nonnula,brunnea,Piciformes,"Bucconidae
",,Feather,,,3,,,,,,3,,,,
289,JUM,,1582,1582,Micromonacha,lanceolata,Piciformes,"Bucconidae
",,Mesostigmatid,,,1,,,,,,1,,,,
290,JUM,,4018,4018,Malacoptila,fusca,Piciformes,Bucconidae,,Feather,,,2,,,,,,2,,,,
291,JEJ,SP12,SP120642,SP120642,Rupicola,peruvianus,Passeriformes,"Cotingidae
",,Feather,,,9,,,,,,9,,,,
292,JEJ,SP12,SP120665,SP120665,Rupicola,peruvianus,Passeriformes,"Cotingidae
",,Feather,,,6,,,,,,6,,,,
293,JEJ,SP12,SP120678,SP120678,Rupicola,peruvianus,Passeriformes,"Cotingidae
",,Feather,,,7,Mesostigmatid,,,1,,8,,,,
294,JEJ,SP12,SP120797,SP120797,Rupicola,peruvianus,Passeriformes,"Cotingidae
",,Feather,,,11,,,,,,11,,,,
295,JEJ,SP12,SP120819,SP120819,Rupicola,peruvianus,Passeriformes,"Cotingidae
",,Feather,,,13,,,,,,13,,,,
296,JEJ,SP12,SP120917,SP120917,Malacoptila,fulvogularis,Piciformes,Bucconidae,,Feather,,,1,,,,,,1,,,,
297,JEJ,SP12,SP121176,SP121176,Malacoptila,fulvogularis,Piciformes,Bucconidae,,Mesostigmatid,,,1,,,,,,1,,,,
298,JEJ,SP12,SP121189,SP121189,Malacoptila,fulvogularis,Piciformes,Bucconidae,,Feather,,,5,,,,,,5,,,,
299,JEJ,SP12,SP121276,SP121276,Malacoptila,fulvogularis,Piciformes,Bucconidae,,Feather,,,22,,,,,,22,,,,
300,JEJ,SP12,SP121319,SP121319,Rupicola,peruvianus,Passeriformes,"Cotingidae
",,Feather,,,4,,,,,,4,,,,
301,JEJ,W12,W120481,W120481,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,5,,,,,,5,,,,
302,JEJ,W12,W120617,W120617,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,2,,,,,,2,,,,
303,JEJ,W12,W120662,W120662,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,5,,,,,,5,,,,
304,JEJ,W12,W120693,W120693,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,16,Other mite?,,,1,,17,,,,
305,JEJ,W12,W120701,W120701,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,6,,,,,,6,,,,
306,JEJ,W12,W120717,W120717,Pipreola,arcuata,Passeriformes,"Cotingidae
",,Feather,,,6,,,,,,6,,,,
307,JEJ,W12,W120722,W120722,Pipreola,arcuata,Passeriformes,"Cotingidae
",,Feather,,,3,,,,,,3,,,,
308,JEJ,W12,W120737,W120737,Pipreola,arcuata,Passeriformes,"Cotingidae
",,Feather,,,8,,,,,,8,,,,
309,JEJ,W12,W120816,W120816,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,2,,,,,,2,,,,
310,JEJ,W12,W121017,W121017,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,7,,,,,,7,,,,
311,JEJ,W12,W121018,W121018,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,21,,,,,,21,,,,
312,JEJ,W12,W121045,W121045,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,19,,,,,,19,,,,
313,JEJ,W13,133,W130133,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,3,,,,,,3,,,,
314,JEJ,W13,376,W130376,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,2,,,,,,2,,,,
315,JEJ,W13,408,W130408,Pipreola,arcuata,Passeriformes,"Cotingidae
",,Feather,,,1,,,,,,1,,,,
316,JEJ,W13,657,W130657,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,44,,,,,,44,,,,
317,JEJ,W13,693,W130693,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,105,,,,,,105,,,,
318,JEJ,W13,860,W130860,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,117,,,,,,117,,,,
319,JEJ,W13,861,W130861,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,4,,,,,,4,,,,
320,JEJ,W13,862,W130862,Pipreola,intermedia,Passeriformes,"Cotingidae
",,Feather,,,37,,,,,,37,,,,
321,JEJ,P11,6038,P116038,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,,Feather,,,14,,,,,,14,,,,
322,JEJ,P11,6078,P116078,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Feather,,,62,,,,,,62,,,,
323,JEJ,P11,6080,P116080,Isleria,hauxwelli,Passeriformes,Thamnophilidae,,Feather,,,4,Trombiculid,,,1,,5,,,,
324,JEJ,P11,6119,P116119,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,6,,,,,,6,,,,
325,JEJ,P11,6154,P116154,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
326,JEJ,P11,6163,P116163,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,,Feather,,,14,,,,,,14,,,,
327,JEJ,P11,6172,P116172,Lanio,versicolor,Passeriformes,"Thraupidae
",,Feather,,,4,,,,,,4,,,,
328,JEJ,P11,6187,P116187,Schiffornis,turdina,Passeriformes,Tityridae,,Feather,,,2,,,,,,2,,,,
329,JEJ,P11,6200,P116200,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,32,,,,,,32,,,,
330,JEJ,P11,6204,P116204,Chlorothraupis,carmioli,Passeriformes,"Cardinalidae
",,Feather,,,21,,,,,,21,,,,
331,JEJ,P11,6210,P116210,Chlorothraupis,carmioli,Passeriformes,"Cardinalidae
",,Feather,,,11,,,,,,11,,,,
332,JEJ,P11,6211,P116211,Chlorothraupis,carmioli,Passeriformes,"Cardinalidae
",,Feather,,,64,,,,,,64,,,,
333,JEJ,P11,6213,P116213,Chlorothraupis,carmioli,Passeriformes,"Cardinalidae
",,Feather,,,74,other?,,,1,,75,,,,
334,JEJ,P11,6228,P116228,Myiobius,barbatus,Passeriformes,"Tityridae
",,Feather,,,4,,,,,,4,,,,
335,JEJ,P11,6231,P116231,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,9,other?,,,1,,10,,,,
336,JEJ,P11,6232,P116232,Lanio,versicolor,Passeriformes,"Thraupidae
",,Feather,,,30,,,,,,30,,,,
337,JEJ,P11,6246,P116246,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,,Feather,,,12,,,,,,12,,,,
338,JEJ,P11,6247,P116247,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,16,,,,,,16,,,,
339,JEJ,P11,6259,P116259,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Feather,,,72,,,,,,72,,,,
340,JEJ,P11,6260,P116260,Corythopis,torquatus,Passeriformes,Tyrannidae,,Feather,,,148,,,,,,148,,,,
341,JEJ,P11,6262,P116262,Schiffornis,turdina,Passeriformes,Tityridae,,Feather,,,3,Trombiculid,,,7,,10,,,,
342,JEJ,P11,6278,P116278,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,8,,,,,,8,,,,
343,JEJ,P11,6360,P116360,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
344,JEJ,P11,6425,P116425,Hylophylax,naevius,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
345,JEJ,P11,6453,P116453,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,1,,,,,,1,,,,
346,JEJ,P11,6467,P116467,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
347,JEJ,SP11,8,SP110008,Chlorospingus,flavigularis,Passeriformes,"Passerellidae
",,Feather,,,4,,,,,,4,,,,
348,JEJ,SP11,23,SP110023,Tangara,arthus,Passeriformes,Thraupidae,,Feather,,,7,,,,,,7,,,,
349,JEJ,SP11,40,SP110040,Chlorospingus,flavigularis,Passeriformes,"Passerellidae
",,Feather,,,1,,,,,,1,,,,
350,JEJ,SP11,66,SP110066,Chlorospingus,flavigularis,Passeriformes,"Passerellidae
",,Feather,,,1,,,,,,1,,,,
351,JEJ,SP11,70,SP110070,Chlorospingus,flavigularis,Passeriformes,"Passerellidae
",,Feather,,,5,,,,,,5,,,,
352,JEJ,SP11,73,SP110073,Premnoplex,brunnescens,Passeriformes,"Furnariidae
",,Mesostigmatid,,,22,,,,,,22,,,,
353,JEJ,SP11,74,SP110074,Premnoplex,brunnescens,Passeriformes,"Furnariidae
",,Feather,,,37,Mesostigmatid,,,18,,55,,,,
354,JEJ,SP11,80,SP110080,Rhynchocyclus,fulvipectus,Passeriformes,Tyrannidae,,Feather,,,2,,,,,,2,,,,
355,JEJ,SP11,84,SP110084,Myioborus,miniatus,Passeriformes,Parulidae,,Feather,,,12,,,,,,12,,,,
356,JEJ,SP11,86,SP110086,Myioborus,miniatus,Passeriformes,Parulidae,,Feather,,,10,,,,,,10,,,,
357,JEJ,SP11,87,SP110087,Myioborus,miniatus,Passeriformes,Parulidae,,Feather,,,4,,,,,,4,,,,
358,JEJ,SP11,95,SP110095,Rhynchocyclus,fulvipectus,Passeriformes,Tyrannidae,,Feather,,,8,,,,,,8,,,,
359,JEJ,SP11,113,SP110113,Basileuterus,tristriatus,Passeriformes,Parulidae,,Feather,,,1,,,,,,1,,,,
360,JEJ,SP11,108,SP110108,Chlorospingus,opthalmicus,Passeriformes,"Passerellidae
",,Feather,,,69,,,,,,69,,,,
361,JEJ,SP11,186,SP110186,Basileuterus,tristriatus,Passeriformes,Parulidae,,Feather,,,3,,,,,,3,,,,
362,JEJ,SP11,98,SP110098,Eutoxeres,condamini,Passeriformes,Parulidae,,Feather,,,6,,,,,,6,,,,
363,JEJ,SP11,188,SP110188,Anabacerthia,striaticollis,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
364,JEJ,SP11,259,SP110259,Hylophylax,naevius,Passeriformes,Thamnophilidae,,Feather,,,3,,,,,,3,,,,
365,JEJ,SP11,101,SP110101,Chlorospingus,flavigularis,Passeriformes,"Passerellidae
",,Feather,,,11,,,,,,11,,,,
366,JEJ,SP11,340,SP110340,Leptopogon,superciliaris,Passeriformes,"Tyrannidae
",,Feather,,,2,,,,,,2,,,,
367,JEJ,SP11,120,SP110120,Chlorospingus,flavigularis,Passeriformes,"Passerellidae
",,Feather,,,9,,,,,,9,,,,
368,JEJ,SP11,130,SP110130,Premnoplex,brunnescens,Passeriformes,"Furnariidae
",,Mesostigmatid,,,36,Feather,,,1,,37,,,,
369,JEJ,SP11,140,SP110140,Premnoplex,brunnescens,Passeriformes,"Furnariidae
",,Mesostigmatid,,,1,,,,,,1,,,,
370,JEJ,SP11,144,SP110144,Basileuterus,tristriatus,Passeriformes,Parulidae,,Feather,,,3,,,,,,3,,,,
371,JEJ,P12,675,P120675,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,7,,,,,,7,,,,
372,JEJ,P12,781,P120781,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",,Feather,,,1,,,,,,1,,,,
373,JEJ,P12,770,P120770,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,1,,,,,,1,,,,
374,JEJ,P12,773,P120773,Hylophylax,naevius,Passeriformes,Thamnophilidae,,Feather,,,9,,,,,,9,,,,
375,JEJ,P12,684,P120684,Hylophilus,ochraceiceps,Passeriformes,Vireonidae,,Feather,,,1,,,,,,1,,,,
